الكلية,الدرجة,النوع,المجال
طب القاهرة,410.0,جامعة,طب
طب أسنان القاهرة,410.0,جامعة,طب أسنان
طب أسنان الإسكندرية,410.0,جامعة,طب أسنان
طب أسنان عين شمس,410.0,جامعة,طب أسنان
صيدلة جنوب الوادي,410.0,جامعة,صيدلة
طب طنطا,410.0,جامعة,طب
طب المنصورة,410.0,جامعة,طب
طب أسنان المنصورة,410.0,جامعة,طب أسنان
طب أسنان قناة السويس بالإسماعيلية,410.0,جامعة,طب أسنان
طب أسنان الزقازيق,410.0,جامعة,طب أسنان
طب المنيا,410.0,جامعة,طب
طب أسنان أسيوط,410.0,جامعة,طب أسنان
طب كفر الشيخ,410.0,جامعة,طب
طب الزقازيق,409.98029,جامعة,طب
طب عين شمس,409.98029,جامعة,طب
طب أسنان الفيوم,409.97043,جامعة,طب أسنان
طب بور سعيد,409.96058,جامعة,طب
طب أسنان طنطا,409.95072,جامعة,طب أسنان
طب الإسكندرية,409.94685,جامعة,طب
طب حلوان,409.94087,جامعة,طب
طب بنها,409.94087,جامعة,طب
طب المنوفية بشبين الكوم,409.93926,جامعة,طب
طب قناة السويس بالإسماعيلية,409.93167,جامعة,طب
طب بني سويف,409.92115,جامعة,طب
طب الفيوم,409.91502,جامعة,طب
طب السويس,409.89159,جامعة,طب
طب أسنان كفر الشيخ,409.88173,جامعة,طب أسنان
طب أسيوط,409.86334,جامعة,طب
طب سوهاج,409.86202,جامعة,طب
طب أسوان,409.86158,جامعة,طب
طب أسنان بني سويف,409.85574,جامعة,طب أسنان
طب جنوب الوادي,409.85216,جامعة,طب
طب أسنان المنيا,409.85056,جامعة,طب أسنان
طب أسنان جنوب الوادي,409.84815,جامعة,طب أسنان
صيدلة و تصنيع دوائي كفر الشيخ,409.80201,جامعة,صيدلة
صيدلة الفيوم,409.52167,جامعة,صيدلة
صيدلة المنوفية,409.41238,جامعة,صيدلة
علاج طبيعي كفر الشيخ,409.35185,جامعة,طب
صيدلة المنصورة,409.15167,جامعة,صيدلة
صيدلة بور سعيد,409.13561,جامعة,صيدلة
صيدلة القاهرة,409.12181,جامعة,صيدلة
صيدلة سوهاج,408.98011,جامعة,صيدلة
علاج طبيعي القاهرة,408.85447,جامعة,طب
صيدلة الزقازيق,408.83834,جامعة,صيدلة
صيدلة قناة السويس بالإسماعيلية,408.62187,جامعة,صيدلة
صيدلة مدينة السادات,407.95,جامعة,صيدلة
صيدلة بني سويف,407.95,جامعة,صيدلة
صيدلة حلوان,407.95,جامعة,صيدلة
صيدلة المنيا,407.95,جامعة,صيدلة
فنون جميلة (عمارة) المنصورة,407.95,جامعة,فنون جميلة
صيدلة عين شمس,407.95,جامعة,صيدلة
صيدلة أسيوط,407.95,جامعة,صيدلة
صيدلة طنطا,407.95,جامعة,صيدلة
صيدلة دمنهور,407.95,جامعة,صيدلة
صيدلة الإسكندرية,407.95,جامعة,صيدلة
علاج طبيعي بني سويف,407.95,جامعة,طب
علاج طبيعي جنوب الوادي,407.93029,جامعة,طب
هندسة بترول و تعدين السويس,407.90072,جامعة,هندسة بترول
طب بيطري المنصورة,407.80516,جامعة,طب بيطري
طب بيطري بني سويف,407.74215,جامعة,طب بيطري
طب بيطري المنيا,407.72543,جامعة,طب بيطري
هندسة جنوب الوادي,407.72412,جامعة,هندسة
طب بيطري كفر الشيخ,407.69491,جامعة,طب بيطري
طب بيطري القاهرة,407.66542,جامعة,طب بيطري
هندسة المنصورة,407.59862,جامعة,هندسة
هندسة القاهرة,407.55329,جامعة,هندسة
هندسة الفيوم,407.5427,جامعة,هندسة
هندسة بني سويف,407.46707,جامعة,هندسة
هندسة دمياط,407.46597,جامعة,هندسة
طب بيطري الزقازيق,407.40334,جامعة,طب بيطري
طب بيطري المنوفية,407.24462,جامعة,طب بيطري
هندسة كفر الشيخ,407.19337,جامعة,هندسة
طب بيطري أسيوط,407.10956,جامعة,طب بيطري
هندسة الإسكندرية,407.06167,جامعة,هندسة
هندسة بور سعيد,406.99516,جامعة,هندسة
هندسة طنطا,406.79812,جامعة,هندسة
هندسة سوهاج,406.65517,جامعة,هندسة
طب بيطري الإسكندرية,406.6237,جامعة,طب بيطري
طب بيطري سوهاج,406.54712,جامعة,طب بيطري
هندسة الزقازيق,406.36285,جامعة,هندسة
طب بيطري دمنهور,406.24167,جامعة,طب بيطري
هندسة المنوفية بشبين الكوم,406.105,جامعة,هندسة
هندسة بنها بشبرا,405.9,جامعة,هندسة
طب بيطري بنها,405.9,جامعة,طب بيطري
طب بيطري قناة السويس بالإسماعيلية,405.9,جامعة,طب بيطري
هندسة أسوان,405.9,جامعة,هندسة
هندسة السويس,405.9,جامعة,هندسة
هندسة بنها,405.9,جامعة,هندسة
ألسن كفر الشيخ,405.9,جامعة,ألسن
هندسة عين شمس,405.9,جامعة,هندسة
هندسة إلكترونية المنوفية بمنوف,405.9,جامعة,هندسة
هندسة قناة السويس بالإسماعيلية,405.9,جامعة,هندسة
اقتصاد و علوم سياسية القاهرة,405.9,جامعة,علوم سياسية
طب بيطري أسوان,405.9,جامعة,طب بيطري
طب بيطري الوادي الجديد,405.88029,جامعة,طب بيطري
هندسة الطاقة أسوان,405.86058,جامعة,هندسة
طب بيطري مدينة السادات,405.83167,جامعة,طب بيطري
طب بيطري مطروح,405.79984,جامعة,طب بيطري
طب بيطري جنوب الوادي,405.78771,جامعة,طب بيطري
هندسة حلوان,405.69967,جامعة,هندسة
هندسة حلوان بالمطرية,405.65185,جامعة,هندسة
هندسة المنيا,405.63827,جامعة,هندسة
سياسة واقتصاد السويس,405.57432,جامعة,علوم سياسية
الذكاء الاصطناعى كفر الشيخ,405.50007,جامعة,حاسبات ومعلومات
هندسة أسيوط,405.49,جامعة,هندسة
الدراسات الاقتصادية و العلوم السياسة الإسكندرية,405.43678,جامعة,علوم سياسية
تخطيط عمراني القاهرة,405.37239,جامعة,تخطيط عمراني
سياسة واقتصاد بني سويف,405.35334,جامعة,علوم سياسية
فنون جميلة (عمارة) أسيوط,405.29836,جامعة,فنون جميلة
حاسبات ومعلومات طنطا,405.14834,جامعة,حاسبات ومعلومات
فنون جميلة (عمارة) حلوان,404.90332,جامعة,فنون جميلة
ألسن أسوان,404.875,جامعة,ألسن
علوم البترول والتعدين مطروح,404.73834,جامعة,هندسة بترول
حاسبات ومعلومات دمنهور بالنوبارية,404.41368,جامعة,حاسبات ومعلومات
الملاحة وتكنولوجيا الفضاء بني سويف,403.92235,جامعة,الملاحة والفضاء
ألسن عين شمس,403.85,جامعة,ألسن
علوم كفر الشيخ,403.85,جامعة,علوم
حاسبات ومعلومات كفر الشيخ,403.85,جامعة,حاسبات ومعلومات
فنون تطبيقية حلوان,403.85,جامعة,طب
حاسبات ومعلومات المنصورة,403.85,جامعة,حاسبات ومعلومات
حاسبات و ذكاء إصطناعي القاهرة,403.85,جامعة,حاسبات ومعلومات
ألسن الأقصر,403.7959,جامعة,ألسن
حاسبات و ذكاء إصطناعي بنها,403.77115,جامعة,حاسبات ومعلومات
ألسن قناة السويس بالإسماعيلية,403.71355,جامعة,ألسن
حاسبات ومعلومات بني سويف,403.71041,جامعة,حاسبات ومعلومات
حاسبات ومعلومات المنوفية بشبين الكوم,403.70574,جامعة,حاسبات ومعلومات
ألسن بني سويف,403.68836,جامعة,ألسن
حاسبات ومعلومات أسيوط,403.645,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الزقازيق,403.64471,جامعة,حاسبات ومعلومات
حاسبات ومعلومات عين شمس,403.62222,جامعة,حاسبات ومعلومات
فنون تطبيقية بنها,403.60937,جامعة,طب
المعهد العالى للهندسة والتكنولوجيا بطنطا,403.55644,معهد,هندسة
ألسن المنيا,403.50834,جامعة,ألسن
ألسن سوهاج,403.32932,جامعة,ألسن
حاسبات ومعلومات سوهاج,403.32239,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الأقصر,403.23529,جامعة,حاسبات ومعلومات
حاسبات و ذكاء إصطناعي حلوان,403.235,جامعة,حاسبات ومعلومات
حاسبات ومعلومات قناة السويس بالإسماعيلية,403.22777,جامعة,حاسبات ومعلومات
حاسبات ومعلومات السويس,403.0957,جامعة,حاسبات ومعلومات
حاسبات ومعلومات المنيا,402.9897,جامعة,حاسبات ومعلومات
علوم الفيوم,402.98795,جامعة,علوم
علوم القاهرة,402.93042,جامعة,علوم
حاسبات ومعلومات الفيوم,402.89662,جامعة,حاسبات ومعلومات
علوم الارض بني سويف,402.66701,جامعة,علوم
إعلام القاهرة,402.42004,جامعة,إعلام
فنون جميلة (عمارة) الإسكندرية,402.32141,جامعة,فنون جميلة
علوم الإسكندرية,402.27943,جامعة,علوم
فنون تطبيقية بني سويف,402.15167,جامعة,طب
معهد المستقبل العالى للهندسة والتكنولوجيا بالفيوم,402.0112,معهد,هندسة
إعلام وتكنولوجيا اتصال السويس,401.93667,جامعة,تكنولوجيا
فنون تطبيقية دمياط,401.82467,جامعة,طب
المصرية الصينية للتكنولوجيا قناة السويس بالإسماعيلية,401.8,جامعة,تكنولوجيا
