الكلية,الدرجة,النوع,المجال
طب القاهرة,410.0,جامعة,طب
طب أسنان القاهرة,410.0,جامعة,طب أسنان
طب الإسكندرية,410.0,جامعة,طب
طب أسنان الإسكندرية,410.0,جامعة,طب أسنان
صيدلة الإسكندرية,410.0,جامعة,صيدلة
طب عين شمس,410.0,جامعة,طب
طب أسنان عين شمس,410.0,جامعة,طب أسنان
طب سوهاج,410.0,جامعة,طب
طب الفيوم,410.0,جامعة,طب
طب أسنان جنوب الوادي,410.0,جامعة,طب أسنان
طب أسيوط,410.0,جامعة,طب
طب طنطا,410.0,جامعة,طب
طب أسنان طنطا,410.0,جامعة,طب أسنان
طب المنصورة,410.0,جامعة,طب
طب أسنان المنصورة,410.0,جامعة,طب أسنان
طب الزقازيق,410.0,جامعة,طب
طب أسنان قناة السويس بالإسماعيلية,410.0,جامعة,طب أسنان
طب قناة السويس بالإسماعيلية,410.0,جامعة,طب
طب المنوفية بشبين الكوم,410.0,جامعة,طب
طب بنها,410.0,جامعة,طب
طب بني سويف,410.0,جامعة,طب
طب المنيا,410.0,جامعة,طب
طب أسنان المنيا,410.0,جامعة,طب أسنان
إعلام المنوفية,410.0,جامعة,إعلام
طب فاقوس,410.0,جامعة,طب
طب دمياط,410.0,جامعة,طب
طب جنوب الوادي,410.0,جامعة,طب
طب كفر الشيخ,410.0,جامعة,طب
طب أسنان المنوفية,409.975882,جامعة,طب أسنان
صيدلة المنيا,409.975882,جامعة,صيدلة
طب حلوان,409.975882,جامعة,طب
طب أسنان كفر الشيخ,409.975882,جامعة,طب أسنان
طب بور سعيد,409.975882,جامعة,طب
طب السويس,409.954444,جامعة,طب
علاج طبيعي القاهرة,409.951765,جامعة,طب
طب العريش,409.951765,جامعة,طب
طب الاقصر,409.951765,جامعة,طب
طب أسوان,409.948761,جامعة,طب
طب الوادي الجديد,409.94875,جامعة,طب
طب أسنان الفيوم,409.930327,جامعة,طب أسنان
طب أسنان الزقازيق,409.930327,جامعة,طب أسنان
طب أسنان السويس,409.927647,جامعة,طب أسنان
طب أسنان أسيوط,409.927647,جامعة,طب أسنان
طب أسنان بني سويف,409.908889,جامعة,طب أسنان
علاج طبيعي قناة السويس,409.906209,جامعة,طب
علاج طبيعي بنها,409.906209,جامعة,طب
صيدلة دمنهور,409.906209,جامعة,صيدلة
علاج طبيعي السويس,409.903529,جامعة,طب
صيدلة المنصورة,409.903194,جامعة,صيدلة
صيدلة طنطا,409.900515,جامعة,صيدلة
صيدلة القاهرة,409.8975,جامعة,صيدلة
علاج طبيعي بني سويف,409.882092,جامعة,طب
علاج طبيعي كفر الشيخ,409.882092,جامعة,طب
علاج طبيعي بورسعيد,409.879412,جامعة,طب
صيدلة حلوان,409.879412,جامعة,صيدلة
صيدلة عين شمس,409.876397,جامعة,صيدلة
علاج طبيعي جنوب الوادي,409.836536,جامعة,طب
صيدلة و تصنيع دوائي كفر الشيخ,409.829167,جامعة,صيدلة
صيدلة الزقازيق,409.807059,جامعة,صيدلة
صيدلة قناة السويس بالإسماعيلية,409.782941,جامعة,صيدلة
صيدلة المنوفية,409.782941,جامعة,صيدلة
صيدلة بور سعيد,409.758824,جامعة,صيدلة
صيدلة الفيوم,409.728676,جامعة,صيدلة
صيدلة أسيوط,409.721307,جامعة,صيدلة
صيدلة مدينة السادات,409.673072,جامعة,صيدلة
صيدلة بني سويف,409.658333,جامعة,صيدلة
صيدلة سوهاج,409.571242,جامعة,صيدلة
صيدلة جنوب الوادي,409.570572,جامعة,صيدلة
صيدلة ج الوادي الجديد,409.541765,جامعة,صيدلة
كلية الهندسة جامعة دمنهور,407.95,جامعة,هندسة
هندسة الطاقة أسوان,407.95,جامعة,هندسة
هندسة جنوب الوادي,407.95,جامعة,هندسة
هندسة المنيا,407.95,جامعة,هندسة
هندسة بترول و تعدين السويس,407.95,جامعة,هندسة بترول
هندسة أسيوط,407.95,جامعة,هندسة
هندسة الإسكندرية,407.95,جامعة,هندسة
طب بيطري الإسكندرية,407.95,جامعة,طب بيطري
هندسة عين شمس,407.95,جامعة,هندسة
هندسة إلكترونية المنوفية بمنوف,407.95,جامعة,هندسة
هندسة القاهرة,407.95,جامعة,هندسة
طب بيطري القاهرة,407.95,جامعة,طب بيطري
هندسة كفر الشيخ,407.95,جامعة,هندسة
هندسة دمياط,407.95,جامعة,هندسة
هندسة السويس,407.95,جامعة,هندسة
هندسة الزقازيق,407.95,جامعة,هندسة
حاسبات و ذكاء إصطناعي القاهرة رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة المنصورة,407.95,جامعة,هندسة
هندسة طنطا,407.95,جامعة,هندسة
هندسة بني سويف,407.95,جامعة,هندسة
هندسة المنوفية بشبين الكوم,407.925882,جامعة,هندسة
العلوم الصحية التطبيقية المنوفية,407.858889,جامعة,طب
هندسة بنها,407.836111,جامعة,هندسة
هندسة بنها بشبرا,407.821875,جامعة,هندسة
هندسة قناة السويس بالإسماعيلية,407.813333,جامعة,هندسة
هندسة حلوان,407.804959,جامعة,هندسة
هندسة الفيوم,407.79625,جامعة,هندسة
هندسة حلوان بالمطرية,407.705139,جامعة,هندسة
هندسة بور سعيد,407.684706,جامعة,هندسة
هندسة أسوان,407.566127,جامعة,هندسة
طب بيطري كفر الشيخ,407.472672,جامعة,طب بيطري
طب بيطري عين شمس,407.454248,جامعة,طب بيطري
هندسة سوهاج,406.505621,جامعة,هندسة
تخطيط عمراني القاهرة,405.9,جامعة,تخطيط عمراني
معهد العبور العالي للهندسه والتكنولوجيا بمصروفات,405.9,معهد,هندسة
حاسبات ومعلومات المنيا رياضة,405.9,جامعة,حاسبات ومعلومات
حاسبات و علوم البيانات الإسكندرية رياضة,405.9,جامعة,حاسبات ومعلومات
حاسبات ومعلومات دمياط رياضة,405.9,جامعة,حاسبات ومعلومات
ألسن كفر الشيخ,405.9,جامعة,ألسن
طب بيطري المنصورة,405.9,جامعة,طب بيطري
حاسبات و ذكاء إصطناعي حلوان رياضة,405.9,جامعة,حاسبات ومعلومات
حاسبات ومعلومات عين شمس رياضة,405.9,جامعة,حاسبات ومعلومات
فنون جميلة (عمارة) المنصورة,405.9,جامعة,فنون جميلة
حاسبات ومعلومات المنصورة رياضة,405.9,جامعة,حاسبات ومعلومات
طب بيطري المنوفية,405.9,جامعة,طب بيطري
الذكاء الاصطناعى كفر الشيخ رياضة,405.609918,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الزقازيق رياضة,405.575752,جامعة,حاسبات ومعلومات
حاسبات ومعلومات دمنهور بالنوبارية رياضة,405.571397,جامعة,حاسبات ومعلومات
دار العلوم أسوان,405.33558,جامعة,علوم
العلوم الصحية التطبيقية بني سويف,404.924575,جامعة,طب
طب بيطري دمنهور,404.715221,جامعة,طب بيطري
فنون جميلة (عمارة) حلوان,403.85,جامعة,فنون جميلة
حاسبات و ذكاء إصطناعي بنها رياضة,403.85,جامعة,حاسبات ومعلومات
فنون جميلة (عمارة) الإسكندرية,403.85,جامعة,فنون جميلة
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,403.85,جامعة,حاسبات ومعلومات
طب بيطري الزقازيق,403.85,جامعة,طب بيطري
حاسبات ومعلومات سوهاج رياضة,403.85,جامعة,حاسبات ومعلومات
حاسبات ومعلومات طنطا رياضة,403.85,جامعة,حاسبات ومعلومات
طب بيطري بنها,403.801765,جامعة,طب بيطري
حاسبات ومعلومات كفر الشيخ رياضة,403.756209,جامعة,حاسبات ومعلومات
حاسبات و ذكاء إصطناعي جنوب الوادي فرع الغردقة رياضة,403.602794,جامعة,حاسبات ومعلومات
حاسبات وذكاء اصطناعي السادات رياضة,403.519722,جامعة,حاسبات ومعلومات
ذكاء إصطناعي المنوفية شبين الكوم رياضة,403.02598,جامعة,حاسبات ومعلومات
حاسبات و معلومات العريش رياضة,401.992188,جامعة,حاسبات ومعلومات
حاسبات وذكاء اصطناعي مطروح رياضة,401.8,جامعة,حاسبات ومعلومات
ألسن عين شمس,401.8,جامعة,ألسن
المعهد العالى للهندسة والتكنولوجيا بكنج مريوط,401.8,معهد,هندسة
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,401.8,جامعة,حاسبات ومعلومات
حاسبات ومعلومات السويس رياضة,401.8,جامعة,حاسبات ومعلومات
إعلام القاهرة,401.649265,جامعة,إعلام
حاسبات ومعلومات الفيوم رياضة,401.633521,جامعة,حاسبات ومعلومات
ألسن قناة السويس بالإسماعيلية,401.293529,جامعة,ألسن
إعلام عين شمس,400.942484,جامعة,إعلام
حاسبات ومعلومات بني سويف رياضة,400.804812,جامعة,حاسبات ومعلومات
المعهد العالى للهندسة والتكنولوجيا بالزقازيق,399.75,معهد,هندسة
حاسبات ومعلومات أسيوط رياضة,399.75,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الأقصر رياضة,399.564667,جامعة,حاسبات ومعلومات
فنون جميلة (عمارة) أسيوط,399.449869,جامعة,فنون جميلة
حاسبات ومعلومات قنا رياضة,399.417377,جامعة,حاسبات ومعلومات
