الكلية,الدرجة,النوع,المجال
طب القاهرة,410.0,جامعة,طب
طب أسنان القاهرة,410.0,جامعة,طب أسنان
طب الإسكندرية,410.0,جامعة,طب
طب أسنان الإسكندرية,410.0,جامعة,طب أسنان
طب بور سعيد,410.0,جامعة,طب
طب عين شمس,410.0,جامعة,طب
طب أسنان عين شمس,410.0,جامعة,طب أسنان
طب سوهاج,410.0,جامعة,طب
طب الفيوم,410.0,جامعة,طب
طب أسيوط,410.0,جامعة,طب
طب طنطا,410.0,جامعة,طب
طب أسنان طنطا,410.0,جامعة,طب أسنان
طب أسنان كفر الشيخ,410.0,جامعة,طب أسنان
طب المنصورة,410.0,جامعة,طب
طب أسنان المنصورة,410.0,جامعة,طب أسنان
طب الوادي الجديد,410.0,جامعة,طب
طب الزقازيق,410.0,جامعة,طب
طب قناة السويس بالإسماعيلية,410.0,جامعة,طب
طب المنوفية بشبين الكوم,410.0,جامعة,طب
طب بنها,410.0,جامعة,طب
طب بني سويف,410.0,جامعة,طب
طب أسنان الزقازيق,410.0,جامعة,طب أسنان
طب المنيا,410.0,جامعة,طب
طب فاقوس,410.0,جامعة,طب
طب أسنان المنوفية,410.0,جامعة,طب أسنان
الذكاء الاصطناعى كفر الشيخ رياضة,410.0,جامعة,حاسبات ومعلومات
طب دمياط,410.0,جامعة,طب
طب الاقصر,410.0,جامعة,طب
طب أسنان أسيوط,410.0,جامعة,طب أسنان
طب كفر الشيخ,410.0,جامعة,طب
طب حلوان,409.935938,جامعة,طب
طب أسنان قناة السويس بالإسماعيلية,409.933871,جامعة,طب أسنان
طب السويس,409.933871,جامعة,طب
طب جنوب الوادي,409.933871,جامعة,طب
طب العريش,409.931666,جامعة,طب
طب أسنان الفيوم,409.931666,جامعة,طب أسنان
طب أسوان,409.931666,جامعة,طب
طب أسنان بني سويف,409.931665,جامعة,طب أسنان
طب أسنان السويس,409.929311,جامعة,طب أسنان
طب أسنان المنيا,409.918,جامعة,طب أسنان
طب أسنان جنوب الوادي,409.8975,جامعة,طب أسنان
علاج طبيعي القاهرة,409.867742,جامعة,طب
علاج طبيعي كفر الشيخ,409.867742,جامعة,طب
علاج طبيعي بنها,409.863334,جامعة,طب
حاسبات و ذكاء إصطناعي القاهرة رياضة,409.863334,جامعة,حاسبات ومعلومات
علاج طبيعي السويس,409.863334,جامعة,طب
علاج طبيعي جنوب الوادي,409.863334,جامعة,طب
صيدلة دمنهور,409.863334,جامعة,صيدلة
صيدلة القاهرة,409.863334,جامعة,صيدلة
صيدلة الإسكندرية,409.801613,جامعة,صيدلة
صيدلة و تصنيع دوائي كفر الشيخ,409.801613,جامعة,صيدلة
علاج طبيعي بني سويف,409.795,جامعة,طب
صيدلة المنصورة,409.763461,جامعة,صيدلة
صيدلة طنطا,409.74375,جامعة,صيدلة
صيدلة عين شمس,409.74375,جامعة,صيدلة
صيدلة سوهاج,409.74375,جامعة,صيدلة
هندسة بترول و تعدين السويس,409.74375,جامعة,هندسة بترول
صيدلة حلوان,409.726666,جامعة,صيدلة
صيدلة المنيا,409.726666,جامعة,صيدلة
صيدلة الزقازيق,409.726666,جامعة,صيدلة
صيدلة بور سعيد,409.726666,جامعة,صيدلة
صيدلة الفيوم,409.672,جامعة,صيدلة
صيدلة المنوفية,409.669355,جامعة,صيدلة
صيدلة بني سويف,409.646552,جامعة,صيدلة
صيدلة مدينة السادات,409.603226,جامعة,صيدلة
صيدلة قناة السويس بالإسماعيلية,409.59,جامعة,صيدلة
صيدلة أسيوط,409.59,جامعة,صيدلة
صيدلة ج الوادي الجديد,409.560714,جامعة,صيدلة
صيدلة جنوب الوادي,409.551563,جامعة,صيدلة
حاسبات و علوم البيانات الإسكندرية رياضة,409.338709,جامعة,حاسبات ومعلومات
حاسبات ومعلومات المنيا رياضة,409.272581,جامعة,حاسبات ومعلومات
حاسبات ومعلومات عين شمس رياضة,409.18,جامعة,حاسبات ومعلومات
هندسة القاهرة,409.18,جامعة,هندسة
هندسة الطاقة أسوان,409.043334,جامعة,هندسة
هندسة عين شمس,408.939655,جامعة,هندسة
هندسة إلكترونية المنوفية بمنوف,408.838334,جامعة,هندسة
هندسة قناة السويس بالإسماعيلية,408.428334,جامعة,هندسة
طب بيطري الإسكندرية,408.346774,جامعة,طب بيطري
هندسة حلوان,408.291666,جامعة,هندسة
هندسة كفر الشيخ,407.95,جامعة,هندسة
حاسبات ومعلومات الأقصر رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة الزقازيق,407.95,جامعة,هندسة
طب بيطري الزقازيق,407.95,جامعة,طب بيطري
حاسبات و ذكاء إصطناعي حلوان رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة الفيوم,407.95,جامعة,هندسة
علوم البترول والتعدين مطروح,407.95,جامعة,هندسة بترول
هندسة دمياط,407.95,جامعة,هندسة
هندسة السويس,407.95,جامعة,هندسة
هندسة بنها بشبرا,407.95,جامعة,هندسة
هندسة حلوان بالمطرية,407.95,جامعة,هندسة
هندسة المنوفية بشبين الكوم,407.95,جامعة,هندسة
هندسة المنيا,407.95,جامعة,هندسة
الملاحة وتكنولوجيا الفضاء بني سويف,407.95,جامعة,الملاحة والفضاء
المصرية الصينية للتكنولوجيا قناة السويس بالإسماعيلية,407.95,جامعة,تكنولوجيا
طب بيطري كفر الشيخ,407.95,جامعة,طب بيطري
هندسة بنها,407.95,جامعة,هندسة
هندسة جنوب الوادي,407.95,جامعة,هندسة
هندسة أسوان,407.95,جامعة,هندسة
حاسبات ومعلومات دمياط رياضة,407.95,جامعة,حاسبات ومعلومات
آثار عين شمس,407.95,جامعة,آثار
حاسبات ومعلومات طنطا رياضة,407.95,جامعة,حاسبات ومعلومات
حاسبات ومعلومات سوهاج رياضة,407.95,جامعة,حاسبات ومعلومات
كلية الهندسة جامعة دمنهور,407.95,جامعة,هندسة
حاسبات ومعلومات بني سويف رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة الإسكندرية,407.95,جامعة,هندسة
تكنولوجيا العلوم الصحية التطبيقية المنوفية,407.95,جامعة,طب
طب بيطري القاهرة,407.95,جامعة,طب بيطري
اقتصاد و علوم سياسية القاهرة,407.95,جامعة,علوم سياسية
حاسبات ومعلومات كفر الشيخ رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة أسيوط,407.95,جامعة,هندسة
هندسة بور سعيد,407.95,جامعة,هندسة
هندسة طنطا,407.95,جامعة,هندسة
هندسة المنصورة,407.95,جامعة,هندسة
طب بيطري المنصورة,407.95,جامعة,طب بيطري
هندسة بني سويف,407.885938,جامعة,هندسة
طب بيطري عين شمس,407.883871,جامعة,طب بيطري
هندسة سوهاج,407.883871,جامعة,هندسة
حاسبات ومعلومات المنصورة رياضة,407.881666,جامعة,حاسبات ومعلومات
تخطيط عمراني القاهرة,407.821875,جامعة,تخطيط عمراني
حاسبات و ذكاء إصطناعي بنها رياضة,407.817742,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الزقازيق رياضة,407.813335,جامعة,حاسبات ومعلومات
حاسبات ومعلومات السويس رياضة,407.813334,جامعة,حاسبات ومعلومات
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,407.813334,جامعة,حاسبات ومعلومات
ألسن كفر الشيخ,407.763636,جامعة,ألسن
ذكاء إصطناعي المنوفية شبين الكوم رياضة,407.745,جامعة,حاسبات ومعلومات
حاسبات و ذكاء إصطناعي جنوب الوادي فرع الغردقة رياضة,407.685484,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الفيوم رياضة,407.685484,جامعة,حاسبات ومعلومات
حاسبات و معلومات العريش رياضة,407.676666,جامعة,حاسبات ومعلومات
حاسبات وذكاء اصطناعي السادات رياضة,407.622,جامعة,حاسبات ومعلومات
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,407.619355,جامعة,حاسبات ومعلومات
حاسبات وذكاء اصطناعي مطروح رياضة,407.565625,جامعة,حاسبات ومعلومات
حاسبات ومعلومات أسيوط رياضة,407.553226,جامعة,حاسبات ومعلومات
حاسبات ومعلومات قنا رياضة,407.471666,جامعة,حاسبات ومعلومات
علوم البترول والتعدين مطروح - علوم,407.364286,جامعة,هندسة بترول
طب بيطري دمنهور,407.335,جامعة,طب بيطري
سياسة واقتصاد بني سويف,407.245313,جامعة,علوم سياسية
تكنولوجيا العلوم الصحية التطبيقية بني سويف,407.243103,جامعة,طب
طب بيطري المنوفية,407.198334,جامعة,طب بيطري
تكنولوجيا الادارة ونظم المعلومات بور سعيد,407.117188,جامعة,تكنولوجيا
الدراسات الاقتصادية و العلوم السياسة الإسكندرية,407.090323,جامعة,علوم سياسية
طب بيطري سوهاج,406.993334,جامعة,طب بيطري
طب بيطري بنها,406.925,جامعة,طب بيطري
طب بيطري قناة السويس بالإسماعيلية,406.693549,جامعة,طب بيطري
معهد الصفوة العالي هندسة وتكنولوجيا بالقليوبية,406.515,معهد,هندسة
طب بيطري أسيوط,406.515,جامعة,طب بيطري
طب بيطري أسوان,406.378334,جامعة,طب بيطري
