الكلية,الدرجة,النوع,المجال
طب القاهرة,410.0,جامعة,طب
طب أسنان القاهرة,410.0,جامعة,طب أسنان
طب الإسكندرية,410.0,جامعة,طب
طب أسنان الإسكندرية,410.0,جامعة,طب أسنان
طب بور سعيد,410.0,جامعة,طب
طب عين شمس,410.0,جامعة,طب
طب أسنان عين شمس,410.0,جامعة,طب أسنان
طب طنطا,410.0,جامعة,طب
طب أسنان طنطا,410.0,جامعة,طب أسنان
طب المنصورة,410.0,جامعة,طب
طب الزقازيق,410.0,جامعة,طب
طب حلوان,410.0,جامعة,طب
طب المنوفية بشبين الكوم,410.0,جامعة,طب
طب أسنان الزقازيق,410.0,جامعة,طب أسنان
طب المنيا,410.0,جامعة,طب
طب أسنان أسيوط,410.0,جامعة,طب أسنان
طب كفر الشيخ,410.0,جامعة,طب
طب بنها,409.980288,جامعة,طب
طب فاقوس,409.960577,جامعة,طب
طب أسنان المنصورة,409.960577,جامعة,طب أسنان
طب قناة السويس بالإسماعيلية,409.960138,جامعة,طب
طب الفيوم,409.945902,جامعة,طب
طب السويس,409.940865,جامعة,طب
طب بني سويف,409.933871,جامعة,طب
طب أسنان المنيا,409.931666,جامعة,طب أسنان
طب أسيوط,409.931666,جامعة,طب
طب أسنان قناة السويس بالإسماعيلية,409.931666,جامعة,طب أسنان
طب سوهاج,409.931666,جامعة,طب
طب جنوب الوادي,409.93101,جامعة,طب
طب أسنان الفيوم,409.901442,جامعة,طب أسنان
طب أسوان,409.891806,جامعة,طب
طب أسنان بني سويف,409.891587,جامعة,طب أسنان
طب أسنان كفر الشيخ,409.881731,جامعة,طب أسنان
طب أسنان السويس,409.877862,جامعة,طب أسنان
طب أسنان جنوب الوادي,409.871875,جامعة,طب أسنان
صيدلة عين شمس,409.861143,جامعة,صيدلة
علاج طبيعي القاهرة,409.848149,جامعة,طب
صيدلة الفيوم,409.834569,جامعة,صيدلة
صيدلة القاهرة,409.795,جامعة,صيدلة
صيدلة المنصورة,409.795,جامعة,صيدلة
صيدلة بني سويف,409.775435,جامعة,صيدلة
صيدلة طنطا,409.763315,جامعة,صيدلة
صيدلة حلوان,409.74959,جامعة,صيدلة
صيدلة المنوفية,409.747547,جامعة,صيدلة
صيدلة الزقازيق,409.735484,جامعة,صيدلة
صيدلة قناة السويس بالإسماعيلية,409.726666,جامعة,صيدلة
صيدلة الإسكندرية,409.726666,جامعة,صيدلة
صيدلة المنيا,409.694471,جامعة,صيدلة
صيدلة و تصنيع دوائي كفر الشيخ,409.692501,جامعة,صيدلة
صيدلة بور سعيد,409.684615,جامعة,صيدلة
صيدلة دمنهور,409.67987,جامعة,صيدلة
صيدلة مدينة السادات,409.658334,جامعة,صيدلة
صيدلة أسيوط,409.650303,جامعة,صيدلة
صيدلة جنوب الوادي,409.621976,جامعة,صيدلة
صيدلة سوهاج,409.586058,جامعة,صيدلة
علاج طبيعي بنها,409.577443,جامعة,طب
علاج طبيعي كفر الشيخ,409.553132,جامعة,طب
علاج طبيعي بني سويف,409.531158,جامعة,طب
حاسبات و علوم البيانات الإسكندرية رياضة,409.521666,جامعة,حاسبات ومعلومات
علاج طبيعي جنوب الوادي,409.50546,جامعة,طب
هندسة سوهاج,409.248334,جامعة,هندسة
طب بيطري أسيوط,409.248334,جامعة,طب بيطري
هندسة بترول و تعدين السويس,409.160873,جامعة,هندسة بترول
طب بيطري القاهرة,408.827528,جامعة,طب بيطري
طب بيطري كفر الشيخ,408.702981,جامعة,طب بيطري
طب بيطري المنوفية,408.691081,جامعة,طب بيطري
طب بيطري المنصورة,408.669325,جامعة,طب بيطري
هندسة المنصورة,407.95,جامعة,هندسة
حاسبات و ذكاء إصطناعي القاهرة رياضة,407.95,جامعة,حاسبات ومعلومات
طب بيطري المنيا,407.95,جامعة,طب بيطري
هندسة الزقازيق,407.95,جامعة,هندسة
طب بيطري الزقازيق,407.95,جامعة,طب بيطري
هندسة كفر الشيخ,407.95,جامعة,هندسة
ألسن قناة السويس بالإسماعيلية,407.95,جامعة,ألسن
هندسة طنطا,407.95,جامعة,هندسة
الدراسات الاقتصادية و العلوم السياسة الإسكندرية,407.95,جامعة,علوم سياسية
هندسة دمياط,407.95,جامعة,هندسة
طب بيطري بنها,407.95,جامعة,طب بيطري
حاسبات ومعلومات طنطا رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة جنوب الوادي,407.95,جامعة,هندسة
طب بيطري بني سويف,407.95,جامعة,طب بيطري
طب بيطري جنوب الوادي,407.95,جامعة,طب بيطري
اقتصاد و علوم سياسية القاهرة,407.95,جامعة,علوم سياسية
هندسة القاهرة,407.95,جامعة,هندسة
تكنولوجيا العلوم الصحية التطبيقية المنوفية,407.95,جامعة,طب
هندسة الإسكندرية,407.95,جامعة,هندسة
طب بيطري الإسكندرية,407.95,جامعة,طب بيطري
ألسن سوهاج,407.95,جامعة,ألسن
هندسة قناة السويس بالإسماعيلية,407.930288,جامعة,هندسة
الذكاء الاصطناعى كفر الشيخ رياضة,407.930288,جامعة,حاسبات ومعلومات
طب بيطري أسوان,407.930288,جامعة,طب بيطري
تكنولوجيا العلوم الصحية التطبيقية بني سويف,407.93,جامعة,طب
طب بيطري دمنهور,407.900721,جامعة,طب بيطري
هندسة بنها,407.896852,جامعة,هندسة
ألسن كفر الشيخ,407.890865,جامعة,ألسن
طب بيطري مدينة السادات,407.889259,جامعة,طب بيطري
هندسة عين شمس,407.883871,جامعة,هندسة
هندسة المنوفية بشبين الكوم,407.881666,جامعة,هندسة
هندسة بني سويف,407.88101,جامعة,هندسة
طب بيطري قناة السويس بالإسماعيلية,407.87,جامعة,طب بيطري
هندسة بور سعيد,407.851442,جامعة,هندسة
طب بيطري العريش,407.843704,جامعة,طب بيطري
هندسة حلوان,407.841587,جامعة,هندسة
هندسة بنها بشبرا,407.813334,جامعة,هندسة
طب بيطري مطروح,407.813334,جامعة,طب بيطري
هندسة حلوان بالمطرية,407.805741,جامعة,هندسة
طب بيطري الوادي الجديد,407.798149,جامعة,طب بيطري
هندسة الفيوم,407.798149,جامعة,هندسة
هندسة أسوان,407.778583,جامعة,هندسة
هندسة السويس,407.77172,جامعة,هندسة
هندسة أسيوط,407.77099,جامعة,هندسة
هندسة المنيا,407.751613,جامعة,هندسة
طب بيطري سوهاج,407.745,جامعة,طب بيطري
هندسة إلكترونية المنوفية بمنوف,407.745,جامعة,هندسة
حاسبات ومعلومات كفر الشيخ رياضة,407.737407,جامعة,حاسبات ومعلومات
الملاحة وتكنولوجيا الفضاء بني سويف,407.734706,جامعة,الملاحة والفضاء
حاسبات ومعلومات المنيا رياضة,407.715579,جامعة,حاسبات ومعلومات
حاسبات ومعلومات دمنهور بالنوبارية رياضة,407.685484,جامعة,حاسبات ومعلومات
تخطيط عمراني القاهرة,407.684259,جامعة,تخطيط عمراني
ألسن عين شمس,407.676666,جامعة,ألسن
هندسة الطاقة أسوان,407.676666,جامعة,هندسة
حاسبات ومعلومات عين شمس رياضة,407.608334,جامعة,حاسبات ومعلومات
علوم البترول والتعدين مطروح,407.543797,جامعة,هندسة بترول
حاسبات ومعلومات دمياط رياضة,407.147448,جامعة,حاسبات ومعلومات
حاسبات ومعلومات سوهاج رياضة,406.979389,جامعة,حاسبات ومعلومات
المصرية الصينية للتكنولوجيا قناة السويس بالإسماعيلية,406.925,جامعة,تكنولوجيا
حاسبات ومعلومات المنصورة رياضة,406.89098,جامعة,حاسبات ومعلومات
حاسبات و ذكاء إصطناعي حلوان رياضة,406.856666,جامعة,حاسبات ومعلومات
ألسن أسوان,406.841481,جامعة,ألسن
سياسة واقتصاد السويس,406.759677,جامعة,علوم سياسية
ألسن المنيا,406.583334,جامعة,ألسن
حاسبات و ذكاء إصطناعي بنها رياضة,406.468569,جامعة,حاسبات ومعلومات
سياسة واقتصاد بني سويف,406.173334,جامعة,علوم سياسية
حاسبات ومعلومات بني سويف رياضة,405.9,جامعة,حاسبات ومعلومات
علوم الإسكندرية,405.9,جامعة,علوم
علوم القاهرة,405.9,جامعة,علوم
فنون جميلة (عمارة) حلوان,405.9,جامعة,فنون جميلة
الاعاقة والتأهيل الزقازيق,405.9,جامعة,الإعاقة والتأهيل
حاسبات ومعلومات الزقازيق رياضة,405.9,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الفيوم رياضة,405.9,جامعة,حاسبات ومعلومات
ألسن بني سويف,405.9,جامعة,ألسن
ألسن الأقصر,405.9,جامعة,ألسن
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,405.9,جامعة,حاسبات ومعلومات
تربية (تعليم ابتدائي) بنات عين شمس,405.9,جامعة,تربية
حاسبات وذكاء اصطناعي السادات رياضة,405.840865,جامعة,حاسبات ومعلومات
حاسبات ومعلومات السويس رياضة,405.831666,جامعة,حاسبات ومعلومات
حاسبات وذكاء اصطناعي مطروح رياضة,405.78611,جامعة,حاسبات ومعلومات
علوم طنطا,405.695,جامعة,علوم
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,405.681421,جامعة,حاسبات ومعلومات
