الكلية,الدرجة,النوع,المجال
فنون جميلة (عمارة) المنصورة,407.95,جامعة,فنون جميلة
طب بيطري دمنهور,407.95,جامعة,طب بيطري
هندسة الإسكندرية,407.95,جامعة,هندسة
اقتصاد و علوم سياسية القاهرة,407.95,جامعة,علوم سياسية
فنون جميلة (عمارة) حلوان,407.95,جامعة,فنون جميلة
ذكاء إصطناعي المنوفية شبين الكوم رياضة,407.95,جامعة,حاسبات ومعلومات
ألسن الفيوم,407.95,جامعة,ألسن
كلية الهندسة جامعة دمنهور,407.95,جامعة,هندسة
حاسبات و علوم البيانات الإسكندرية رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة السويس,407.95,جامعة,هندسة
طب بيطري بنها,407.95,جامعة,طب بيطري
معهد فني صحى الزقازيق,407.95,معهد,تمريض
حاسبات ومعلومات الزقازيق رياضة,407.95,جامعة,حاسبات ومعلومات
طب بيطري كفر الشيخ,407.95,جامعة,طب بيطري
هندسة أسوان,407.95,جامعة,هندسة
هندسة جنوب الوادي,407.95,جامعة,هندسة
هندسة سوهاج,407.885938,جامعة,هندسة
طب بيطري مدينة السادات,407.881666,جامعة,طب بيطري
طب بيطري أسوان,407.881666,جامعة,طب بيطري
حاسبات ومعلومات طنطا رياضة,407.881666,جامعة,حاسبات ومعلومات
الملاحة وتكنولوجيا الفضاء بني سويف,407.881666,جامعة,الملاحة والفضاء
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,407.825758,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الفيوم رياضة,407.813334,جامعة,حاسبات ومعلومات
علوم البترول والتعدين مطروح,407.813334,جامعة,هندسة بترول
طب بيطري جنوب الوادي,407.813334,جامعة,طب بيطري
حاسبات و ذكاء إصطناعي جنوب الوادي فرع الغردقة رياضة,407.745,جامعة,حاسبات ومعلومات
تربية نوعية فنية بور سعيد,407.745,جامعة,تربية
حاسبات وذكاء اصطناعي السادات رياضة,407.722222,جامعة,حاسبات ومعلومات
حاسبات وذكاء اصطناعي مطروح رياضة,407.704,جامعة,حاسبات ومعلومات
حاسبات ومعلومات بني سويف رياضة,407.69375,جامعة,حاسبات ومعلومات
طب بيطري مطروح,407.676666,جامعة,طب بيطري
حاسبات و معلومات العريش رياضة,407.676666,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الأقصر رياضة,407.676666,جامعة,حاسبات ومعلومات
حاسبات ومعلومات السويس رياضة,407.676666,جامعة,حاسبات ومعلومات
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,407.676666,جامعة,حاسبات ومعلومات
معهد عالي تكنولوجيا 10 رمضان فرع 6 اكتوبر هندسة بمصروفات,407.626316,معهد,هندسة
حاسبات ومعلومات قنا رياضة,407.608334,جامعة,حاسبات ومعلومات
طب بيطري قناة السويس بالإسماعيلية,407.608334,جامعة,طب بيطري
الدراسات الاقتصادية و العلوم السياسة الإسكندرية,407.608334,جامعة,علوم سياسية
طب بيطري العريش,407.54,جامعة,طب بيطري
طب بيطري بني سويف,407.515151,جامعة,طب بيطري
ألسن كفر الشيخ,407.471666,جامعة,ألسن
طب بيطري سوهاج,407.4375,جامعة,طب بيطري
طب بيطري الوادي الجديد,407.420967,جامعة,طب بيطري
تكنولوجيا الادارة ونظم المعلومات بور سعيد,407.403334,جامعة,تكنولوجيا
فنون تطبيقية بنها,407.403334,جامعة,طب
أقتصاد منزلى بنات عين شمس,407.354839,جامعة,غير مصنف
علوم جنوب الوادي,407.294,جامعة,علوم
علوم القاهرة,407.198334,جامعة,علوم
المعهد العالى للهندسة والتكنولوجيا بطنطا,407.194737,معهد,هندسة
سياسة واقتصاد السويس,407.13,جامعة,علوم سياسية
فنون تطبيقية حلوان,406.993334,جامعة,طب
علوم البترول والتعدين مطروح - علوم,406.925,جامعة,هندسة بترول
ألسن الأقصر,406.891935,جامعة,ألسن
فنون جميلة (عمارة) الإسكندرية,406.769697,جامعة,فنون جميلة
سياسة واقتصاد بني سويف,406.759677,جامعة,علوم سياسية
فنون تطبيقية بني سويف,406.651666,جامعة,طب
علوم كفر الشيخ,406.609616,جامعة,علوم
علوم الفيوم,406.583334,جامعة,علوم
دار العلوم القاهرة,406.431481,جامعة,علوم
فنون جميلة (عمارة) المنيا,405.9,جامعة,فنون جميلة
فنون تطبيقية دمياط,405.9,جامعة,طب
ألسن قناة السويس بالإسماعيلية,405.9,جامعة,ألسن
ألسن عين شمس,405.9,جامعة,ألسن
المصرية الصينية للتكنولوجيا قناة السويس بالإسماعيلية,405.9,جامعة,تكنولوجيا
ألسن الفيوم رياضة,405.9,جامعة,ألسن
علوم بنات عين شمس,405.701613,جامعة,علوم
علوم المنيا,405.695,جامعة,علوم
فنون جميلة (عمارة) أسيوط,405.626666,جامعة,فنون جميلة
ألسن أسوان,405.569355,جامعة,ألسن
ألسن المنيا,405.285,جامعة,ألسن
علوم طنطا,405.285,جامعة,علوم
العالي للحاسب ونظم المعلومات ش نظم تجمع خامس,405.216666,معهد,حاسبات ومعلومات
معهد الوادى العالي للهندسة و التكنولوجيا قليوبية,405.08,معهد,هندسة
ألسن بني سويف,404.928948,جامعة,ألسن
ألسن جنوب الوادي فرع الغردقة,404.875,جامعة,ألسن
الاعاقة والتأهيل الزقازيق,404.709677,جامعة,الإعاقة والتأهيل
ألسن جنوب الوادي فرع الغردقة رياضة,404.67,جامعة,ألسن
علوم حلوان,404.465,جامعة,علوم
علوم أسيوط,404.22963,جامعة,علوم
علوم عين شمس,403.85,جامعة,علوم
علوم الزقازيق,403.85,جامعة,علوم
معهد النيل العالى للهندسة والتكنولوجيا بالمنصورة,403.85,معهد,هندسة
علوم المنوفية بشبين الكوم,403.85,جامعة,علوم
علوم بنها,403.85,جامعة,علوم
علوم دمنهور,403.783871,جامعة,علوم
علوم المنصورة,403.781666,جامعة,علوم
علوم الإسكندرية,403.781666,جامعة,علوم
معهد عالي هندسة وتكنولوجيا المنيا الجديدة,403.781665,معهد,هندسة
علوم أسوان,403.651613,جامعة,علوم
الاعاقة والتأهيل بني سويف,403.645,جامعة,الإعاقة والتأهيل
علوم دمياط,403.645,جامعة,علوم
علوم قناة السويس بالإسماعيلية,403.453226,جامعة,علوم
علوم بور سعيد,403.3375,جامعة,علوم
إعلام القاهرة,403.235,جامعة,إعلام
علوم السويس,403.03,جامعة,علوم
علوم بني سويف,403.001724,جامعة,علوم
معهد عالي فنون تطبيقيه التجمع الخامس,402.791935,معهد,طب
تربية الزقازيق,402.756666,جامعة,تربية
علوم سوهاج,402.62,جامعة,علوم
المعهد العالى للهندسة والتكنولوجيا بالمنوفية,402.527419,معهد,هندسة
علوم الارض بني سويف,402.483334,جامعة,علوم
علوم العريش,402.115384,جامعة,علوم
المعهد العالى للهندسة والتكنولوجيا ببرج العرب بالاسكندرية,401.8,معهد,هندسة
المعهد العالى للهندسة والتكنولوجيا بالمحلة الكبرى,401.8,معهد,هندسة
آثار القاهرة,401.8,جامعة,آثار
علوم الوادي الجديد,401.8,جامعة,علوم
آثار دمياط,401.733871,جامعة,آثار
فنون جميلة (فنون) الإسكندرية,401.526666,جامعة,فنون جميلة
معهد عالي فنون تطبيقيه 6 اكتوبر,401.2875,معهد,طب
مصر العالي هندسة وتكنولوجيا منصورة,400.911665,معهد,هندسة
تربية (تعليم ابتدائي) بنات عين شمس,400.775,جامعة,تربية
معهد تكنولوجي عالي العاشر من رمضان شعبة (هندسة) بمصروفات,400.681818,معهد,هندسة
المعهد العالى للهندسة والتكنولوجيا بالزقازيق,400.57,معهد,هندسة
آثار عين شمس,400.57,جامعة,آثار
تربية مدينة السادات,400.501666,جامعة,تربية
تربية المنصورة,400.433334,جامعة,تربية
معهد أكتوبر العالي للهندسه والتكنولوجيا م 6 اكتوبر بمصروفات,400.433334,معهد,هندسة
أكاديمية أخبار اليوم 6اكتوبر شعبة علوم حاسب رياضة,400.296666,جامعة,حاسبات ومعلومات
معهد عالي هندسه 6 اكتوبر بمصروفات,399.886666,معهد,هندسة
تمريض القاهرة,399.75,جامعة,تمريض
إعلام المنوفية,399.24,جامعة,إعلام
معهد عالي هندسه مدينه الشروق بمصروفات,399.203334,معهد,هندسة
حقوق الزقازيق,398.998334,جامعة,حقوق
دار العلوم انتساب موجه القاهرة,398.725,انتساب,علوم
تربية العريش,398.656666,جامعة,تربية
تربية المنيا,398.52,جامعة,تربية
المعهد الكندى العالى للهندسة 6 اكتوبر,398.340625,معهد,هندسة
معهد العبور العالي للهندسه والتكنولوجيا بمصروفات,397.7,معهد,هندسة
معهد عالي كندي تكنولوجيا هندسة ت.خامس,397.7,معهد,هندسة
معهد الإسكندرية العالي للتكنولوجيا بسموحة بمصروفات,397.7,معهد,تكنولوجيا
تجارة القاهرة,397.7,جامعة,تجارة
آثار الفيوم,397.563334,جامعة,آثار
تكنولوجيا صناعة السكر والصناعات التكاملية اسيوط,396.811666,جامعة,تكنولوجيا
الاهرامات العالي للهندسة والتكنولوجيا -6 اكتوبر,396.265,معهد,هندسة
معهد فني صحى المنصوره,395.542106,معهد,تمريض
تربية بنها,395.422222,جامعة,تربية
تربية طنطا,395.39375,جامعة,تربية
المعهد العالى للهندسة ببلبيس,394.351666,معهد,هندسة
العالي للحاسبات والمعلومات شعبة نظم طنطا,393.930645,معهد,حاسبات ومعلومات
آثار أسوان,393.6,جامعة,آثار
