الكلية,الدرجة,النوع,المجال
طب القاهرة,410.0,جامعة,طب
طب أسنان القاهرة,410.0,جامعة,طب أسنان
طب الإسكندرية,410.0,جامعة,طب
طب أسنان الإسكندرية,410.0,جامعة,طب أسنان
طب بور سعيد,410.0,جامعة,طب
طب عين شمس,410.0,جامعة,طب
طب أسنان عين شمس,410.0,جامعة,طب أسنان
طب سوهاج,410.0,جامعة,طب
طب الفيوم,410.0,جامعة,طب
طب أسيوط,410.0,جامعة,طب
طب طنطا,410.0,جامعة,طب
طب المنصورة,410.0,جامعة,طب
طب أسنان المنصورة,410.0,جامعة,طب أسنان
طب الزقازيق,410.0,جامعة,طب
طب المنوفية بشبين الكوم,410.0,جامعة,طب
طب قناة السويس بالإسماعيلية,410.0,جامعة,طب
طب بنها,410.0,جامعة,طب
طب بني سويف,410.0,جامعة,طب
طب المنيا,410.0,جامعة,طب
طب فاقوس,410.0,جامعة,طب
طب أسنان المنوفية,410.0,جامعة,طب أسنان
طب دمياط,410.0,جامعة,طب
طب السادات,410.0,جامعة,طب
طب كفر الشيخ,410.0,جامعة,طب
طب حلوان,409.972667,جامعة,طب
طب السويس,409.956267,جامعة,طب
طب العريش,409.948101,جامعة,طب
طب أسنان المنيا,409.948101,جامعة,طب أسنان
طب أسوان,409.945333,جامعة,طب
طب جنوب الوادي,409.935127,جامعة,طب
طب الاقصر,409.93512,جامعة,طب
طب أسنان قناة السويس بالإسماعيلية,409.934229,جامعة,طب أسنان
طب أسنان كفر الشيخ,409.920768,جامعة,طب أسنان
طب الوادي الجديد,409.918,جامعة,طب
طب أسنان طنطا,409.908604,جامعة,طب أسنان
طب أسنان الفيوم,409.903814,جامعة,طب أسنان
طب أسنان الزقازيق,409.900562,جامعة,طب أسنان
طب أسنان السويس,409.898348,جامعة,طب أسنان
صيدلة القاهرة,409.896203,جامعة,صيدلة
طب أسنان بني سويف,409.893435,جامعة,طب أسنان
طب أسنان أسيوط,409.8852,جامعة,طب أسنان
طب وجراحة الفم والأسنان سوهاج,409.863333,جامعة,طب
طب أسنان جنوب الوادي,409.863333,جامعة,طب أسنان
علاج طبيعي كفر الشيخ,409.773237,جامعة,طب
صيدلة عين شمس,409.742453,جامعة,صيدلة
علاج طبيعي بورسعيد,409.682922,جامعة,طب
علاج طبيعي السويس,409.633803,جامعة,طب
علاج طبيعي بنها,409.586715,جامعة,طب
علاج طبيعي القاهرة,409.579067,جامعة,طب
علاج طبيعي قناة السويس,409.543897,جامعة,طب
هندسة القاهرة,409.46897,جامعة,هندسة
علاج طبيعي بني سويف,408.813307,جامعة,طب
صيدلة حلوان,408.012402,جامعة,صيدلة
صيدلة الإسكندرية,407.950012,جامعة,صيدلة
علاج طبيعي جنوب الوادي,407.950012,جامعة,طب
صيدلة المنوفية,407.950012,جامعة,صيدلة
صيدلة الفيوم,407.95,جامعة,صيدلة
صيدلة أسيوط,407.95,جامعة,صيدلة
صيدلة طنطا,407.95,جامعة,صيدلة
صيدلة جنوب الوادي,407.95,جامعة,صيدلة
هندسة إلكترونية المنوفية بمنوف,407.95,جامعة,هندسة
هندسة عين شمس,407.95,جامعة,هندسة
صيدلة بور سعيد,407.95,جامعة,صيدلة
صيدلة سوهاج,407.95,جامعة,صيدلة
صيدلة دمنهور,407.95,جامعة,صيدلة
صيدلة بني سويف,407.95,جامعة,صيدلة
هندسة بنها بشبرا,407.95,جامعة,هندسة
صيدلة المنصورة,407.95,جامعة,صيدلة
هندسة المنصورة,407.95,جامعة,هندسة
صيدلة الزقازيق,407.95,جامعة,صيدلة
حاسبات و ذكاء إصطناعي القاهرة رياضة,407.95,جامعة,حاسبات ومعلومات
صيدلة قناة السويس بالإسماعيلية,407.95,جامعة,صيدلة
صيدلة مدينة السادات,407.95,جامعة,صيدلة
هندسة بترول و تعدين السويس,407.95,جامعة,هندسة بترول
صيدلة المنيا,407.95,جامعة,صيدلة
صيدلة و تصنيع دوائي كفر الشيخ,407.95,جامعة,صيدلة
صيدلة ج الوادي الجديد,407.922667,جامعة,صيدلة
هندسة بنها,407.89875,جامعة,هندسة
هندسة حلوان,407.898101,جامعة,هندسة
هندسة طنطا,407.868,جامعة,هندسة
هندسة حلوان بالمطرية,407.780533,جامعة,هندسة
تخطيط عمراني القاهرة,407.721453,جامعة,تخطيط عمراني
حقوق المنيا,407.713212,جامعة,حقوق
هندسة المنوفية بشبين الكوم,407.567333,جامعة,هندسة
هندسة الفيوم,407.163146,جامعة,هندسة
هندسة الزقازيق,407.089657,جامعة,هندسة
هندسة كفر الشيخ,406.628725,جامعة,هندسة
هندسة دمياط,405.9,جامعة,هندسة
هندسة الطاقة أسوان,405.9,جامعة,هندسة
هندسة بور سعيد,405.9,جامعة,هندسة
هندسة بني سويف,405.9,جامعة,هندسة
هندسة أسيوط,405.9,جامعة,هندسة
حاسبات ومعلومات عين شمس رياضة,405.9,جامعة,حاسبات ومعلومات
هندسة قناة السويس بالإسماعيلية,405.9,جامعة,هندسة
هندسة الإسكندرية,405.9,جامعة,هندسة
كلية الهندسة جامعة دمنهور,405.9,جامعة,هندسة
هندسة المنيا,405.9,جامعة,هندسة
هندسة السويس,405.899994,جامعة,هندسة
هندسة أسوان,405.872667,جامعة,هندسة
هندسة الوادي الجديد,405.796133,جامعة,هندسة
هندسة جنوب الوادي,405.610267,جامعة,هندسة
هندسة سوهاج,405.602393,جامعة,هندسة
حاسبات و ذكاء إصطناعي حلوان رياضة,405.444329,جامعة,حاسبات ومعلومات
علوم البترول والتعدين مطروح,403.850006,جامعة,هندسة بترول
حاسبات ومعلومات الزقازيق رياضة,403.85,جامعة,حاسبات ومعلومات
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,403.85,جامعة,حاسبات ومعلومات
حاسبات و ذكاء إصطناعي بنها رياضة,403.85,جامعة,حاسبات ومعلومات
المعهد العالى للهندسة والتكنولوجيا بكنج مريوط,403.85,معهد,هندسة
طب بيطري القاهرة,403.85,جامعة,طب بيطري
حاسبات ومعلومات المنصورة رياضة,403.85,جامعة,حاسبات ومعلومات
علوم البترول والتعدين مطروح - علوم,403.85,جامعة,هندسة بترول
حاسبات ومعلومات طنطا رياضة,403.85,جامعة,حاسبات ومعلومات
حاسبات و علوم البيانات الإسكندرية رياضة,403.85,جامعة,حاسبات ومعلومات
حاسبات ومعلومات دمياط رياضة,403.85,جامعة,حاسبات ومعلومات
حاسبات ومعلومات دمنهور بالنوبارية رياضة,403.145312,جامعة,حاسبات ومعلومات
الذكاء الاصطناعى كفر الشيخ رياضة,403.115469,جامعة,حاسبات ومعلومات
طب بيطري عين شمس,401.8,جامعة,طب بيطري
ذكاء إصطناعي المنوفية شبين الكوم رياضة,401.8,جامعة,حاسبات ومعلومات
حاسبات ومعلومات المنيا رياضة,401.8,جامعة,حاسبات ومعلومات
حاسبات ومعلومات كفر الشيخ رياضة,401.8,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الفيوم رياضة,401.8,جامعة,حاسبات ومعلومات
العلوم الصحية التطبيقية المنوفية,401.756267,جامعة,طب
حاسبات وذكاء اصطناعي السادات رياضة,401.479688,جامعة,حاسبات ومعلومات
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,401.331119,جامعة,حاسبات ومعلومات
حاسبات ومعلومات السويس رياضة,401.1112,جامعة,حاسبات ومعلومات
طب بيطري المنصورة,399.75,جامعة,طب بيطري
حاسبات ومعلومات أسيوط رياضة,399.75,جامعة,حاسبات ومعلومات
طب بيطري كفر الشيخ,399.75,جامعة,طب بيطري
فنون جميلة (عمارة) حلوان,399.75,جامعة,فنون جميلة
حاسبات وذكاء اصطناعي مطروح رياضة,399.75,جامعة,حاسبات ومعلومات
حاسبات و ذكاء إصطناعي الغردقة رياضة,399.75,جامعة,حاسبات ومعلومات
حاسبات ومعلومات بني سويف رياضة,399.75,جامعة,حاسبات ومعلومات
طب بيطري المنوفية,399.586,جامعة,طب بيطري
حاسبات و معلومات العريش رياضة,399.36388,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الأقصر رياضة,398.13628,جامعة,حاسبات ومعلومات
حاسبات ومعلومات سوهاج رياضة,397.7,جامعة,حاسبات ومعلومات
المعهد العالى للهندسة والتكنولوجيا ببرج العرب بالاسكندرية,397.648101,معهد,هندسة
حاسبات ومعلومات قنا رياضة,397.2836,جامعة,حاسبات ومعلومات
طب بيطري الزقازيق,396.262433,جامعة,طب بيطري
طب بيطري بنها,395.65,جامعة,طب بيطري
اقتصاد و علوم سياسية القاهرة,395.65,جامعة,علوم سياسية
ألسن كفر الشيخ,395.310206,جامعة,ألسن
طب بيطري الإسكندرية,395.18824,جامعة,طب بيطري
طب بيطري دمنهور,393.6,جامعة,طب بيطري
ألسن عين شمس,393.6,جامعة,ألسن
المعهد العالي للهندسة بمدينة 15 مايو,393.551036,معهد,هندسة
العلوم الصحية التطبيقية بني سويف,391.128651,جامعة,طب
طب بيطري أسوان,390.771381,جامعة,طب بيطري
ألسن الفيوم,389.5,جامعة,ألسن
