الكلية,الدرجة,النوع,المجال
طب القاهرة,410.0,جامعة,طب
طب أسنان القاهرة,410.0,جامعة,طب أسنان
طب الإسكندرية,410.0,جامعة,طب
طب أسنان الإسكندرية,410.0,جامعة,طب أسنان
طب بور سعيد,410.0,جامعة,طب
طب عين شمس,410.0,جامعة,طب
طب أسنان عين شمس,410.0,جامعة,طب أسنان
طب سوهاج,410.0,جامعة,طب
طب الفيوم,410.0,جامعة,طب
طب أسنان جنوب الوادي,410.0,جامعة,طب أسنان
طب أسيوط,410.0,جامعة,طب
طب طنطا,410.0,جامعة,طب
طب أسنان طنطا,410.0,جامعة,طب أسنان
طب أسنان كفر الشيخ,410.0,جامعة,طب أسنان
طب المنصورة,410.0,جامعة,طب
طب أسنان المنصورة,410.0,جامعة,طب أسنان
حاسبات و ذكاء إصطناعي القاهرة رياضة,410.0,جامعة,حاسبات ومعلومات
طب الزقازيق,410.0,جامعة,طب
طب قناة السويس بالإسماعيلية,410.0,جامعة,طب
طب المنوفية بشبين الكوم,410.0,جامعة,طب
طب بنها,410.0,جامعة,طب
طب السويس,410.0,جامعة,طب
طب بني سويف,410.0,جامعة,طب
طب أسنان الزقازيق,410.0,جامعة,طب أسنان
طب المنيا,410.0,جامعة,طب
هندسة بترول و تعدين السويس,410.0,جامعة,هندسة بترول
طب العريش,410.0,جامعة,طب
طب دمياط,410.0,جامعة,طب
طب الاقصر,410.0,جامعة,طب
طب أسنان أسيوط,410.0,جامعة,طب أسنان
طب أسوان,410.0,جامعة,طب
طب أسنان بني سويف,410.0,جامعة,طب أسنان
طب كفر الشيخ,410.0,جامعة,طب
طب فاقوس,409.935938,جامعة,طب
طب أسنان المنوفية,409.933871,جامعة,طب أسنان
طب حلوان,409.933871,جامعة,طب
طب جنوب الوادي,409.933868,جامعة,طب
طب الوادي الجديد,409.931671,جامعة,طب
طب أسنان السويس,409.931667,جامعة,طب أسنان
طب أسنان الفيوم,409.931667,جامعة,طب أسنان
طب أسنان المنيا,409.902381,جامعة,طب أسنان
طب أسنان قناة السويس بالإسماعيلية,409.902381,جامعة,طب أسنان
صيدلة جنوب الوادي,409.871875,جامعة,صيدلة
علاج طبيعي القاهرة,409.871875,جامعة,طب
صيدلة القاهرة,409.867742,جامعة,صيدلة
صيدلة سوهاج,409.863333,جامعة,صيدلة
علاج طبيعي بنها,409.863333,جامعة,طب
علاج طبيعي كفر الشيخ,409.863333,جامعة,طب
علاج طبيعي بورسعيد,409.813636,جامعة,طب
علاج طبيعي قناة السويس,409.807812,جامعة,طب
علاج طبيعي السويس,409.807812,جامعة,طب
صيدلة الزقازيق,409.795,جامعة,صيدلة
علاج طبيعي بني سويف,409.795,جامعة,طب
علاج طبيعي جنوب الوادي,409.765714,جامعة,طب
صيدلة عين شمس,409.74375,جامعة,صيدلة
صيدلة حلوان,409.726667,جامعة,صيدلة
صيدلة المنصورة,409.689394,جامعة,صيدلة
صيدلة المنوفية,409.679688,جامعة,صيدلة
صيدلة و تصنيع دوائي كفر الشيخ,409.658333,جامعة,صيدلة
هندسة قناة السويس بالإسماعيلية,409.615625,جامعة,هندسة
صيدلة طنطا,409.603226,جامعة,صيدلة
صيدلة بور سعيد,409.59,جامعة,صيدلة
صيدلة الإسكندرية,409.568421,جامعة,صيدلة
صيدلة الفيوم,409.537097,جامعة,صيدلة
صيدلة قناة السويس بالإسماعيلية,409.470968,جامعة,صيدلة
صيدلة دمنهور,409.453333,جامعة,صيدلة
صيدلة بني سويف,409.385,جامعة,صيدلة
صيدلة أسيوط,409.359375,جامعة,صيدلة
حاسبات ومعلومات عين شمس رياضة,409.352632,جامعة,حاسبات ومعلومات
هندسة القاهرة,409.23125,جامعة,هندسة
صيدلة مدينة السادات,409.206452,جامعة,صيدلة
صيدلة المنيا,409.167188,جامعة,صيدلة
صيدلة ج الوادي الجديد,409.140323,جامعة,صيدلة
هندسة المنصورة,408.910938,جامعة,هندسة
هندسة عين شمس,408.809677,جامعة,هندسة
هندسة الطاقة أسوان,408.782812,جامعة,هندسة
هندسة حلوان,408.654688,جامعة,هندسة
علوم البترول والتعدين مطروح,408.223333,جامعة,هندسة بترول
هندسة دمياط,407.95,جامعة,هندسة
هندسة السويس,407.95,جامعة,هندسة
هندسة حلوان بالمطرية,407.95,جامعة,هندسة
هندسة المنيا,407.95,جامعة,هندسة
تخطيط عمراني القاهرة,407.95,جامعة,تخطيط عمراني
حاسبات ومعلومات قنا رياضة,407.95,جامعة,حاسبات ومعلومات
حاسبات ومعلومات دمنهور بالنوبارية رياضة,407.95,جامعة,حاسبات ومعلومات
الذكاء الاصطناعى كفر الشيخ رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة كفر الشيخ,407.95,جامعة,هندسة
هندسة بنها بشبرا,407.95,جامعة,هندسة
هندسة الزقازيق,407.95,جامعة,هندسة
حاسبات و ذكاء إصطناعي حلوان رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة الفيوم,407.95,جامعة,هندسة
هندسة طنطا,407.95,جامعة,هندسة
هندسة بور سعيد,407.95,جامعة,هندسة
حاسبات ومعلومات كفر الشيخ رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة أسيوط,407.95,جامعة,هندسة
حاسبات ومعلومات المنصورة رياضة,407.95,جامعة,حاسبات ومعلومات
طب بيطري القاهرة,407.95,جامعة,طب بيطري
هندسة الإسكندرية,407.95,جامعة,هندسة
هندسة إلكترونية المنوفية بمنوف,407.95,جامعة,هندسة
كلية الهندسة جامعة دمنهور,407.95,جامعة,هندسة
حاسبات و علوم البيانات الإسكندرية رياضة,407.95,جامعة,حاسبات ومعلومات
حاسبات ومعلومات دمياط رياضة,407.95,جامعة,حاسبات ومعلومات
علوم البترول والتعدين مطروح - علوم,407.95,جامعة,هندسة بترول
هندسة أسوان,407.885938,جامعة,هندسة
هندسة المنوفية بشبين الكوم,407.883871,جامعة,هندسة
حاسبات ومعلومات الأقصر رياضة,407.881667,جامعة,حاسبات ومعلومات
حاسبات ومعلومات طنطا رياضة,407.881667,جامعة,حاسبات ومعلومات
ذكاء إصطناعي المنوفية شبين الكوم رياضة,407.842105,جامعة,حاسبات ومعلومات
هندسة بنها,407.842105,جامعة,هندسة
حاسبات و ذكاء إصطناعي جنوب الوادي فرع الغردقة رياضة,407.817742,جامعة,حاسبات ومعلومات
هندسة بني سويف,407.813333,جامعة,هندسة
هندسة جنوب الوادي,407.745,جامعة,هندسة
هندسة سوهاج,407.676667,جامعة,هندسة
طب بيطري عين شمس,407.608333,جامعة,طب بيطري
حاسبات و ذكاء إصطناعي بنها رياضة,407.518421,جامعة,حاسبات ومعلومات
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,407.471667,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الزقازيق رياضة,407.4375,جامعة,حاسبات ومعلومات
حاسبات وذكاء اصطناعي السادات رياضة,407.354839,جامعة,حاسبات ومعلومات
حاسبات وذكاء اصطناعي مطروح رياضة,407.28871,جامعة,حاسبات ومعلومات
حاسبات و معلومات العريش رياضة,407.222581,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الفيوم رياضة,407.169037,جامعة,حاسبات ومعلومات
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,407.024194,جامعة,حاسبات ومعلومات
حاسبات ومعلومات سوهاج رياضة,406.693548,جامعة,حاسبات ومعلومات
طب بيطري الزقازيق,406.56129,جامعة,طب بيطري
حاسبات ومعلومات أسيوط رياضة,406.388095,جامعة,حاسبات ومعلومات
حاسبات ومعلومات السويس رياضة,406.173333,جامعة,حاسبات ومعلومات
الملاحة وتكنولوجيا الفضاء بني سويف,406.164516,جامعة,الملاحة والفضاء
طب بيطري المنصورة,405.968333,جامعة,طب بيطري
حاسبات ومعلومات المنيا رياضة,405.9,جامعة,حاسبات ومعلومات
طب بيطري كفر الشيخ,405.9,جامعة,طب بيطري
طب بيطري المنوفية,405.9,جامعة,طب بيطري
طب بيطري أسيوط,405.9,جامعة,طب بيطري
طب بيطري الإسكندرية,405.9,جامعة,طب بيطري
المعهد العالي للهندسة والتكنولوجيا بدمياط الجديدة,405.9,معهد,هندسة
اقتصاد و علوم سياسية القاهرة,405.9,جامعة,علوم سياسية
كلية تكنولوجيا الصناعة والطاقة 6 أكتوبر التكنولوجية,405.9,جامعة,تكنولوجيا
حاسبات ومعلومات بني سويف رياضة,405.9,جامعة,حاسبات ومعلومات
طب بيطري بنها,405.421667,جامعة,طب بيطري
معهد عالي هندسة وتكنولوجيا العريش,405.148333,معهد,هندسة
المعهد الكندى العالى للهندسة 6 اكتوبر,403.914062,معهد,هندسة
طب بيطري أسوان,403.85,جامعة,طب بيطري
المعهد العالى للهندسة والتكنولوجيا الحديثة بالمرج,403.85,معهد,هندسة
معهد المنصورة العالى للهندسة والتكنولوجيا,403.85,معهد,هندسة
ألسن كفر الشيخ,403.85,جامعة,ألسن
المصرية الصينية للتكنولوجيا قناة السويس بالإسماعيلية,403.85,جامعة,تكنولوجيا
