الكلية,الدرجة,النوع,المجال
طب القاهرة,410.0,جامعة,طب
طب أسنان القاهرة,410.0,جامعة,طب أسنان
طب الإسكندرية,410.0,جامعة,طب
طب أسنان الإسكندرية,410.0,جامعة,طب أسنان
طب عين شمس,410.0,جامعة,طب
طب أسنان عين شمس,410.0,جامعة,طب أسنان
طب طنطا,410.0,جامعة,طب
طب أسنان كفر الشيخ,410.0,جامعة,طب أسنان
طب المنصورة,410.0,جامعة,طب
طب أسنان قناة السويس بالإسماعيلية,410.0,جامعة,طب أسنان
طب الزقازيق,410.0,جامعة,طب
طب قناة السويس بالإسماعيلية,410.0,جامعة,طب
طب المنوفية بشبين الكوم,410.0,جامعة,طب
طب بني سويف,410.0,جامعة,طب
طب أسنان الزقازيق,410.0,جامعة,طب أسنان
طب المنيا,410.0,جامعة,طب
طب أسنان الفيوم,410.0,جامعة,طب أسنان
طب كفر الشيخ,410.0,جامعة,طب
طب أسنان طنطا,409.960577,جامعة,طب أسنان
طب حلوان,409.950721,جامعة,طب
طب بور سعيد,409.933871,جامعة,طب
طب بنها,409.933871,جامعة,طب
طب فاقوس,409.926787,جامعة,طب
طب الفيوم,409.921154,جامعة,طب
طب سوهاج,409.8975,جامعة,طب
طب السويس,409.867742,جامعة,طب
طب جنوب الوادي,409.863334,جامعة,طب
طب أسيوط,409.858077,جامعة,طب
طب أسنان السويس,409.795,جامعة,طب أسنان
طب أسوان,409.780357,جامعة,طب
طب أسنان المنصورة,409.76,جامعة,طب أسنان
طب أسنان بني سويف,409.74375,جامعة,طب أسنان
طب أسنان المنيا,409.74375,جامعة,طب أسنان
طب أسنان أسيوط,409.735484,جامعة,طب أسنان
طب أسنان جنوب الوادي,409.726666,جامعة,طب أسنان
صيدلة بور سعيد,409.566346,جامعة,صيدلة
صيدلة القاهرة,409.47863,جامعة,صيدلة
صيدلة المنوفية,409.453334,جامعة,صيدلة
صيدلة عين شمس,409.316666,جامعة,صيدلة
صيدلة سوهاج,409.272581,جامعة,صيدلة
صيدلة حلوان,409.268702,جامعة,صيدلة
صيدلة الفيوم,409.104956,جامعة,صيدلة
علاج طبيعي القاهرة,409.043334,جامعة,طب
علاج طبيعي بنها,408.994712,جامعة,طب
صيدلة المنيا,408.941935,جامعة,صيدلة
صيدلة المنصورة,408.701666,جامعة,صيدلة
علاج طبيعي كفر الشيخ,408.501923,جامعة,طب
صيدلة و تصنيع دوائي كفر الشيخ,408.425048,جامعة,صيدلة
علاج طبيعي بني سويف,408.291666,جامعة,طب
هندسة بترول و تعدين السويس,407.95,جامعة,هندسة بترول
صيدلة بني سويف,407.95,جامعة,صيدلة
صيدلة قناة السويس بالإسماعيلية,407.95,جامعة,صيدلة
صيدلة الزقازيق,407.95,جامعة,صيدلة
صيدلة مدينة السادات,407.95,جامعة,صيدلة
صيدلة أسيوط,407.95,جامعة,صيدلة
صيدلة جنوب الوادي,407.95,جامعة,صيدلة
صيدلة طنطا,407.95,جامعة,صيدلة
صيدلة الإسكندرية,407.95,جامعة,صيدلة
علاج طبيعي جنوب الوادي,407.95,جامعة,طب
هندسة القاهرة,407.95,جامعة,هندسة
صيدلة دمنهور,407.95,جامعة,صيدلة
هندسة عين شمس,407.880446,جامعة,هندسة
طب بيطري سوهاج,407.82,جامعة,طب بيطري
هندسة المنصورة,407.664183,جامعة,هندسة
هندسة سوهاج,407.589278,جامعة,هندسة
هندسة بنها بشبرا,407.553226,جامعة,هندسة
تكنولوجيا العلوم الصحية التطبيقية بني سويف,407.553226,جامعة,طب
هندسة دمياط,407.471666,جامعة,هندسة
طب بيطري القاهرة,407.420967,جامعة,طب بيطري
هندسة طنطا,407.403334,جامعة,هندسة
هندسة الطاقة أسوان,407.388221,جامعة,هندسة
هندسة حلوان,407.362596,جامعة,هندسة
هندسة كفر الشيخ,407.266666,جامعة,هندسة
هندسة حلوان بالمطرية,407.200962,جامعة,هندسة
هندسة الفيوم,407.162243,جامعة,هندسة
هندسة الزقازيق,407.131971,جامعة,هندسة
هندسة قناة السويس بالإسماعيلية,407.003846,جامعة,هندسة
هندسة بنها,406.91796,جامعة,هندسة
هندسة بور سعيد,406.915144,جامعة,هندسة
هندسة الإسكندرية,406.851787,جامعة,هندسة
علوم البترول والتعدين مطروح,406.818558,جامعة,هندسة بترول
هندسة المنوفية بشبين الكوم,406.788334,جامعة,هندسة
هندسة بني سويف,406.788334,جامعة,هندسة
هندسة السويس,406.750553,جامعة,هندسة
طب بيطري كفر الشيخ,406.693549,جامعة,طب بيطري
طب بيطري بني سويف,406.627356,جامعة,طب بيطري
هندسة أسوان,406.515,جامعة,هندسة
هندسة إلكترونية المنوفية بمنوف,406.446666,جامعة,هندسة
هندسة المنيا,406.333794,جامعة,هندسة
طب بيطري المنوفية,406.31,جامعة,طب بيطري
طب بيطري الإسكندرية,405.9,جامعة,طب بيطري
اقتصاد و علوم سياسية القاهرة,405.9,جامعة,علوم سياسية
هندسة أسيوط,405.9,جامعة,هندسة
طب بيطري المنصورة,405.9,جامعة,طب بيطري
حاسبات و ذكاء إصطناعي القاهرة رياضة,405.9,جامعة,حاسبات ومعلومات
الملاحة وتكنولوجيا الفضاء بني سويف,405.9,جامعة,الملاحة والفضاء
حاسبات ومعلومات دمياط رياضة,405.9,جامعة,حاسبات ومعلومات
هندسة جنوب الوادي,405.9,جامعة,هندسة
تخطيط عمراني القاهرة,405.880288,جامعة,تخطيط عمراني
حاسبات و علوم البيانات الإسكندرية رياضة,405.880288,جامعة,حاسبات ومعلومات
حاسبات ومعلومات طنطا رياضة,405.870433,جامعة,حاسبات ومعلومات
الاكاديمية المصرية للهندسة والتكنولوجيا المتقدمة وزارة الانتاج الحربى,405.830446,جامعة,هندسة
الذكاء الاصطناعى كفر الشيخ رياضة,405.782294,جامعة,حاسبات ومعلومات
تكنولوجيا العلوم الصحية التطبيقية المنوفية,405.711332,جامعة,طب
طب بيطري المنيا,405.626666,جامعة,طب بيطري
طب بيطري الزقازيق,405.523862,جامعة,طب بيطري
طب بيطري بنها,405.348077,جامعة,طب بيطري
حاسبات ومعلومات كفر الشيخ رياضة,405.238709,جامعة,حاسبات ومعلومات
هندسة جامعة العلوم والتكنولوجيا زويل,405.011666,جامعة,هندسة
طب بيطري أسوان,405.011666,جامعة,طب بيطري
ألسن بني سويف,404.853176,جامعة,ألسن
طب بيطري دمنهور,404.8184,جامعة,طب بيطري
طب بيطري أسيوط,404.738005,جامعة,طب بيطري
حاسبات ومعلومات المنصورة رياضة,404.465,جامعة,حاسبات ومعلومات
طب بيطري العريش,404.211566,جامعة,طب بيطري
طب بيطري مدينة السادات,403.859011,جامعة,طب بيطري
حاسبات وذكاء اصطناعي السادات رياضة,403.85,جامعة,حاسبات ومعلومات
طب بيطري الوادي الجديد,403.85,جامعة,طب بيطري
حاسبات ومعلومات دمنهور بالنوبارية رياضة,403.85,جامعة,حاسبات ومعلومات
طب بيطري جنوب الوادي,403.85,جامعة,طب بيطري
طب بيطري مطروح,403.85,جامعة,طب بيطري
حاسبات ومعلومات عين شمس رياضة,403.85,جامعة,حاسبات ومعلومات
المعهد العالى للهندسة والتكنولوجيا ببرج العرب بالاسكندرية,403.85,معهد,هندسة
الدراسات الاقتصادية و العلوم السياسة الإسكندرية,403.85,جامعة,علوم سياسية
طب بيطري قناة السويس بالإسماعيلية,403.85,جامعة,طب بيطري
حاسبات ومعلومات الزقازيق رياضة,403.85,جامعة,حاسبات ومعلومات
هندسة الجامعة المصرية اليابانية,403.70357,جامعة,هندسة
حاسبات و ذكاء إصطناعي بنها رياضة,403.682453,جامعة,حاسبات ومعلومات
حاسبات و ذكاء إصطناعي حلوان رياضة,403.630357,جامعة,حاسبات ومعلومات
حاسبات و ذكاء إصطناعي جنوب الوادي فرع الغردقة رياضة,403.436058,جامعة,حاسبات ومعلومات
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,403.188709,جامعة,حاسبات ومعلومات
سياسة واقتصاد بني سويف,402.893334,جامعة,علوم سياسية
حاسبات ومعلومات الفيوم رياضة,402.890471,جامعة,حاسبات ومعلومات
حاسبات وذكاء اصطناعي مطروح رياضة,402.839643,جامعة,حاسبات ومعلومات
سياسة واقتصاد السويس,402.836968,جامعة,علوم سياسية
مركز التكنولوجيا المتميز بوزارة الصناعة والتجارة الخارجية,402.691384,جامعة,تكنولوجيا
حاسبات ومعلومات السويس رياضة,402.67857,جامعة,حاسبات ومعلومات
تكنولوجيا الادارة ونظم المعلومات بور سعيد,402.55101,جامعة,تكنولوجيا
حاسبات ومعلومات بني سويف رياضة,402.483334,جامعة,حاسبات ومعلومات
العالي للهندسة والتكنولوجيا التجمع الخامس,402.320385,معهد,هندسة
ألسن كفر الشيخ,402.178462,جامعة,ألسن
حاسبات ومعلومات أسيوط رياضة,401.8,جامعة,حاسبات ومعلومات
معهد هندسة وتكنولوجيا الطيران إمبابة جيزة بمصروفات,401.8,معهد,هندسة
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,401.8,جامعة,حاسبات ومعلومات
