الكلية,الدرجة,النوع,المجال
طب القاهرة,410.0,جامعة,طب
طب أسنان القاهرة,410.0,جامعة,طب أسنان
طب المنصورة,410.0,جامعة,طب
طب الزقازيق,410.0,جامعة,طب
طب كفر الشيخ,410.0,جامعة,طب
طب أسنان المنصورة,409.96522,جامعة,طب أسنان
طب طنطا,409.96058,جامعة,طب
طب بور سعيد,409.94087,جامعة,طب
طب عين شمس,409.92115,جامعة,طب
طب أسيوط,409.87582,جامعة,طب
طب حلوان,409.86334,جامعة,طب
طب أسنان جنوب الوادي,409.83836,جامعة,طب أسنان
طب الإسكندرية,409.80288,جامعة,طب
طب بنها,409.80161,جامعة,طب
طب أسنان عين شمس,409.78036,جامعة,طب أسنان
طب المنوفية بشبين الكوم,409.75656,جامعة,طب
طب بني سويف,409.72404,جامعة,طب
طب أسوان,409.68462,جامعة,طب
طب أسنان الإسكندرية,409.67082,جامعة,طب أسنان
طب أسنان الفيوم,409.66936,جامعة,طب أسنان
طب أسنان كفر الشيخ,409.59732,جامعة,طب أسنان
طب الفيوم,409.58606,جامعة,طب
طب قناة السويس بالإسماعيلية,409.52692,جامعة,طب
طب السويس,409.47835,جامعة,طب
طب المنيا,409.16536,جامعة,طب
طب سوهاج,409.14311,جامعة,طب
طب أسنان طنطا,409.13973,جامعة,طب أسنان
طب جنوب الوادي,409.04334,جامعة,طب
طب أسنان أسيوط,409.00752,جامعة,طب أسنان
طب أسنان بني سويف,408.975,جامعة,طب أسنان
طب أسنان الزقازيق,408.91192,جامعة,طب أسنان
طب أسنان قناة السويس بالإسماعيلية,408.88827,جامعة,طب أسنان
طب أسنان المنيا,408.85476,جامعة,طب أسنان
صيدلة الفيوم,408.70167,جامعة,صيدلة
صيدلة سوهاج,407.95,جامعة,صيدلة
صيدلة عين شمس,407.95,جامعة,صيدلة
صيدلة المنوفية,407.95,جامعة,صيدلة
صيدلة الإسكندرية,407.95,جامعة,صيدلة
صيدلة القاهرة,407.95,جامعة,صيدلة
صيدلة الزقازيق,407.95,جامعة,صيدلة
صيدلة المنصورة,407.95,جامعة,صيدلة
صيدلة طنطا,407.95,جامعة,صيدلة
صيدلة أسيوط,407.95,جامعة,صيدلة
هندسة بترول و تعدين السويس,407.95,جامعة,هندسة بترول
علاج طبيعي القاهرة,407.95,جامعة,طب
صيدلة و تصنيع دوائي كفر الشيخ,407.95,جامعة,صيدلة
صيدلة المنيا,407.95,جامعة,صيدلة
صيدلة بني سويف,407.95,جامعة,صيدلة
صيدلة مدينة السادات,407.95,جامعة,صيدلة
صيدلة قناة السويس بالإسماعيلية,407.95,جامعة,صيدلة
علاج طبيعي كفر الشيخ,407.95,جامعة,طب
صيدلة بور سعيد,407.93029,جامعة,صيدلة
صيدلة حلوان,407.90072,جامعة,صيدلة
علاج طبيعي بني سويف,407.89875,جامعة,طب
صيدلة جنوب الوادي,407.89784,جامعة,صيدلة
صيدلة دمنهور,407.89087,جامعة,صيدلة
علاج طبيعي جنوب الوادي,407.88387,جامعة,طب
هندسة القاهرة,407.87904,جامعة,هندسة
هندسة بني سويف,407.8613,جامعة,هندسة
علوم البترول والتعدين مطروح,407.81334,جامعة,هندسة بترول
هندسة الطاقة أسوان,407.72134,جامعة,هندسة
هندسة الفيوم,407.6494,جامعة,هندسة
هندسة المنصورة,407.4871,جامعة,هندسة
هندسة كفر الشيخ,407.47167,جامعة,هندسة
هندسة قناة السويس بالإسماعيلية,407.42764,جامعة,هندسة
هندسة عين شمس,407.36429,جامعة,هندسة
اقتصاد و علوم سياسية القاهرة,406.82433,جامعة,علوم سياسية
هندسة سوهاج,406.78307,جامعة,هندسة
هندسة جنوب الوادي,406.73774,جامعة,هندسة
هندسة الإسكندرية,406.72,جامعة,هندسة
هندسة طنطا,406.51669,جامعة,هندسة
هندسة حلوان,406.48571,جامعة,هندسة
هندسة دمياط,406.30409,جامعة,هندسة
هندسة الزقازيق,405.96237,جامعة,هندسة
هندسة بور سعيد,405.9,جامعة,هندسة
هندسة السويس,405.9,جامعة,هندسة
هندسة بنها,405.9,جامعة,هندسة
هندسة حلوان بالمطرية,405.9,جامعة,هندسة
هندسة المنوفية بشبين الكوم,405.9,جامعة,هندسة
هندسة بنها بشبرا,405.9,جامعة,هندسة
هندسة أسوان,405.9,جامعة,هندسة
الملاحة وتكنولوجيا الفضاء بني سويف,405.9,جامعة,الملاحة والفضاء
هندسة المنيا,405.85072,جامعة,هندسة
هندسة إلكترونية المنوفية بمنوف,405.84087,جامعة,هندسة
هندسة أسيوط,405.83167,جامعة,هندسة
طب بيطري القاهرة,405.82313,جامعة,طب بيطري
الدراسات الاقتصادية و العلوم السياسة الإسكندرية,405.812,جامعة,علوم سياسية
طب بيطري المنوفية,405.76334,جامعة,طب بيطري
حاسبات ومعلومات طنطا,405.74287,جامعة,حاسبات ومعلومات
الذكاء الاصطناعى كفر الشيخ,405.70161,جامعة,حاسبات ومعلومات
تخطيط عمراني القاهرة,405.68036,جامعة,تخطيط عمراني
حاسبات ومعلومات كفر الشيخ,405.51745,جامعة,حاسبات ومعلومات
حاسبات ومعلومات المنصورة,405.392,جامعة,حاسبات ومعلومات
طب بيطري المنصورة,405.32752,جامعة,طب بيطري
سياسة واقتصاد السويس,405.28528,جامعة,علوم سياسية
طب بيطري الزقازيق,405.285,جامعة,طب بيطري
طب بيطري كفر الشيخ,405.18053,جامعة,طب بيطري
حاسبات ومعلومات دمنهور بالنوبارية,405.10645,جامعة,حاسبات ومعلومات
طب بيطري الإسكندرية,405.04311,جامعة,طب بيطري
طب بيطري بنها,404.94334,جامعة,طب بيطري
طب بيطري أسوان,404.875,جامعة,طب بيطري
حاسبات ومعلومات المنيا,404.875,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الزقازيق,404.77278,جامعة,حاسبات ومعلومات
طب بيطري أسيوط,404.75138,جامعة,طب بيطري
طب بيطري مدينة السادات,404.60167,جامعة,طب بيطري
طب بيطري دمنهور,404.59636,جامعة,طب بيطري
حاسبات و ذكاء إصطناعي القاهرة,404.55469,جامعة,حاسبات ومعلومات
طب بيطري قناة السويس بالإسماعيلية,404.43149,جامعة,طب بيطري
فنون جميلة (عمارة) الإسكندرية,404.32834,جامعة,فنون جميلة
فنون جميلة (عمارة) حلوان,404.03304,جامعة,فنون جميلة
حاسبات و ذكاء إصطناعي بنها,403.85,جامعة,حاسبات ومعلومات
حاسبات ومعلومات عين شمس,403.85,جامعة,حاسبات ومعلومات
فنون جميلة (عمارة) المنصورة,403.85,جامعة,فنون جميلة
طب بيطري المنيا,403.85,جامعة,طب بيطري
طب بيطري بني سويف,403.85,جامعة,طب بيطري
المصرية الصينية للتكنولوجيا قناة السويس بالإسماعيلية,403.85,جامعة,تكنولوجيا
طب بيطري مطروح,403.85,جامعة,طب بيطري
سياسة واقتصاد بني سويف,403.85,جامعة,علوم سياسية
طب بيطري سوهاج,403.83747,جامعة,طب بيطري
معهد هندسة وتكنولوجيا الطيران إمبابة جيزة بمصروفات,403.83029,معهد,هندسة
ألسن سوهاج,403.83029,جامعة,ألسن
طب بيطري جنوب الوادي,403.80072,جامعة,طب بيطري
طب بيطري الوادي الجديد,403.79087,جامعة,طب بيطري
حاسبات و ذكاء إصطناعي حلوان,403.78045,جامعة,حاسبات ومعلومات
حاسبات ومعلومات المنوفية بشبين الكوم,403.69625,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الفيوم,403.645,جامعة,حاسبات ومعلومات
فنون جميلة (عمارة) أسيوط,403.61022,جامعة,فنون جميلة
حاسبات ومعلومات السويس,403.56418,جامعة,حاسبات ومعلومات
حاسبات ومعلومات سوهاج,403.55601,جامعة,حاسبات ومعلومات
حاسبات ومعلومات قناة السويس بالإسماعيلية,403.50589,جامعة,حاسبات ومعلومات
الاكاديمية المصرية للهندسة والتكنولوجيا المتقدمة وزارة الانتاج الحربى,403.45323,جامعة,هندسة
حاسبات ومعلومات أسيوط,403.44337,جامعة,حاسبات ومعلومات
حاسبات ومعلومات بني سويف,403.44,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الأقصر,403.42719,جامعة,حاسبات ومعلومات
ألسن كفر الشيخ,403.40705,جامعة,ألسن
فنون جميلة (عمارة) المنيا,403.30334,جامعة,فنون جميلة
معهد تكنولوجي عالي العاشر من رمضان شعبة (هندسة) بمصروفات,403.15714,معهد,هندسة
ألسن بني سويف,402.96167,جامعة,ألسن
ألسن أسوان,402.92947,جامعة,ألسن
معهد العبور العالي للهندسه والتكنولوجيا بمصروفات,402.67857,معهد,هندسة
تكنولوجيا الادارة ونظم المعلومات بور سعيد,402.07334,جامعة,تكنولوجيا
معهد عالي تكنولوجيا 10 رمضان فرع 6 اكتوبر هندسة بمصروفات,401.8,معهد,هندسة
علوم الارض بني سويف,401.8,جامعة,علوم
المعهد العالى للهندسة بالمنيا,401.8,معهد,هندسة
أكاديمية أخبار اليوم شعبة هندسية 6 أكتوبر,401.78029,جامعة,هندسة
