الكلية,الدرجة,النوع,المجال
طب القاهرة,410.0,جامعة,طب
طب أسنان القاهرة,410.0,جامعة,طب أسنان
طب الإسكندرية,410.0,جامعة,طب
طب أسنان الإسكندرية,410.0,جامعة,طب أسنان
طب عين شمس,410.0,جامعة,طب
طب أسنان عين شمس,410.0,جامعة,طب أسنان
طب سوهاج,410.0,جامعة,طب
طب الفيوم,410.0,جامعة,طب
طب أسيوط,410.0,جامعة,طب
طب طنطا,410.0,جامعة,طب
طب أسنان طنطا,410.0,جامعة,طب أسنان
طب المنصورة,410.0,جامعة,طب
طب أسنان المنصورة,410.0,جامعة,طب أسنان
طب الزقازيق,410.0,جامعة,طب
طب المنوفية بشبين الكوم,410.0,جامعة,طب
طب بنها,410.0,جامعة,طب
طب بني سويف,410.0,جامعة,طب
طب المنيا,410.0,جامعة,طب
طب أسنان السويس,410.0,جامعة,طب أسنان
طب فاقوس,410.0,جامعة,طب
طب أسنان المنوفية,410.0,جامعة,طب أسنان
طب دمياط,410.0,جامعة,طب
طب الاقصر,410.0,جامعة,طب
طب كفر الشيخ,410.0,جامعة,طب
طب حلوان,409.975882,جامعة,طب
طب قناة السويس بالإسماعيلية,409.975882,جامعة,طب
طب بور سعيد,409.975882,جامعة,طب
طب السويس,409.951765,جامعة,طب
طب الوادي الجديد,409.927647,جامعة,طب
طب جنوب الوادي,409.927647,جامعة,طب
طب العريش,409.886111,جامعة,طب
طب أسوان,409.884771,جامعة,طب
طب أسنان الزقازيق,409.879412,جامعة,طب أسنان
طب أسنان قناة السويس بالإسماعيلية,409.871875,جامعة,طب أسنان
طب أسنان الفيوم,409.863333,جامعة,طب أسنان
طب أسنان كفر الشيخ,409.833856,جامعة,طب أسنان
طب أسنان بني سويف,409.807059,جامعة,طب أسنان
طب أسنان أسيوط,409.79098,جامعة,طب أسنان
طب أسنان المنيا,409.766863,جامعة,طب أسنان
طب أسنان جنوب الوادي,409.758824,جامعة,طب أسنان
علاج طبيعي القاهرة,409.651215,جامعة,طب
علاج طبيعي كفر الشيخ,409.631871,جامعة,طب
صيدلة القاهرة,409.468072,جامعة,صيدلة
علاج طبيعي بورسعيد,409.452328,جامعة,طب
علاج طبيعي بنها,409.359375,جامعة,طب
علاج طبيعي السويس,409.28183,جامعة,طب
علاج طبيعي قناة السويس,409.276471,جامعة,طب
علاج طبيعي بني سويف,408.546242,جامعة,طب
صيدلة و تصنيع دوائي كفر الشيخ,407.95,جامعة,صيدلة
كلية الهندسة جامعة دمنهور,407.95,جامعة,هندسة
حاسبات و ذكاء إصطناعي القاهرة رياضة,407.95,جامعة,حاسبات ومعلومات
صيدلة المنصورة,407.95,جامعة,صيدلة
هندسة المنصورة,407.95,جامعة,هندسة
صيدلة الزقازيق,407.95,جامعة,صيدلة
صيدلة المنوفية,407.95,جامعة,صيدلة
صيدلة عين شمس,407.95,جامعة,صيدلة
صيدلة طنطا,407.95,جامعة,صيدلة
صيدلة أسيوط,407.95,جامعة,صيدلة
صيدلة جنوب الوادي,407.95,جامعة,صيدلة
صيدلة المنيا,407.95,جامعة,صيدلة
صيدلة حلوان,407.95,جامعة,صيدلة
هندسة بترول و تعدين السويس,407.95,جامعة,هندسة بترول
صيدلة بني سويف,407.95,جامعة,صيدلة
صيدلة قناة السويس بالإسماعيلية,407.95,جامعة,صيدلة
هندسة القاهرة,407.95,جامعة,هندسة
صيدلة الإسكندرية,407.95,جامعة,صيدلة
هندسة الإسكندرية,407.95,جامعة,هندسة
صيدلة الفيوم,407.95,جامعة,صيدلة
صيدلة دمنهور,407.95,جامعة,صيدلة
علاج طبيعي جنوب الوادي,407.95,جامعة,طب
صيدلة بور سعيد,407.925882,جامعة,صيدلة
صيدلة مدينة السادات,407.925882,جامعة,صيدلة
هندسة الزقازيق,407.880327,جامعة,هندسة
صيدلة ج الوادي الجديد,407.877647,جامعة,صيدلة
صيدلة سوهاج,407.829412,جامعة,صيدلة
هندسة عين شمس,407.805294,جامعة,هندسة
هندسة إلكترونية المنوفية بمنوف,407.777827,جامعة,هندسة
هندسة بني سويف,407.684706,جامعة,هندسة
هندسة كفر الشيخ,407.507843,جامعة,هندسة
هندسة بنها بشبرا,407.44085,جامعة,هندسة
حاسبات و علوم البيانات الإسكندرية رياضة,407.225131,جامعة,حاسبات ومعلومات
هندسة طنطا,406.882292,جامعة,هندسة
هندسة الطاقة أسوان,406.687843,جامعة,هندسة
هندسة بنها,405.9,جامعة,هندسة
هندسة دمياط,405.9,جامعة,هندسة
هندسة حلوان بالمطرية,405.9,جامعة,هندسة
هندسة حلوان,405.9,جامعة,هندسة
هندسة المنوفية بشبين الكوم,405.9,جامعة,هندسة
هندسة المنيا,405.9,جامعة,هندسة
هندسة بور سعيد,405.9,جامعة,هندسة
هندسة أسيوط,405.9,جامعة,هندسة
حاسبات ومعلومات عين شمس رياضة,405.9,جامعة,حاسبات ومعلومات
حاسبات ومعلومات المنصورة رياضة,405.9,جامعة,حاسبات ومعلومات
طب بيطري عين شمس,405.9,جامعة,طب بيطري
طب بيطري القاهرة,405.9,جامعة,طب بيطري
هندسة الفيوم,405.854444,جامعة,هندسة
حاسبات و ذكاء إصطناعي حلوان رياضة,405.827647,جامعة,حاسبات ومعلومات
هندسة قناة السويس بالإسماعيلية,405.803529,جامعة,هندسة
هندسة السويس,405.729167,جامعة,هندسة
هندسة جنوب الوادي,405.682271,جامعة,هندسة
هندسة أسوان,405.586471,جامعة,هندسة
هندسة سوهاج,404.26201,جامعة,هندسة
تخطيط عمراني القاهرة,403.85,جامعة,تخطيط عمراني
علوم البترول والتعدين مطروح,403.85,جامعة,هندسة بترول
حاسبات ومعلومات الزقازيق رياضة,403.85,جامعة,حاسبات ومعلومات
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,403.85,جامعة,حاسبات ومعلومات
طب بيطري المنيا,403.85,جامعة,طب بيطري
حاسبات ومعلومات دمياط رياضة,403.85,جامعة,حاسبات ومعلومات
حاسبات ومعلومات دمنهور بالنوبارية رياضة,403.85,جامعة,حاسبات ومعلومات
الذكاء الاصطناعى كفر الشيخ رياضة,403.85,جامعة,حاسبات ومعلومات
حاسبات ومعلومات طنطا رياضة,403.85,جامعة,حاسبات ومعلومات
طب بيطري المنوفية,403.168676,جامعة,طب بيطري
المعهد التكنولوجي العالي بالسادس من أكتوبر,401.8,معهد,تكنولوجيا
ذكاء إصطناعي المنوفية شبين الكوم رياضة,401.8,جامعة,حاسبات ومعلومات
علوم البترول والتعدين مطروح - علوم,401.8,جامعة,هندسة بترول
حاسبات و ذكاء إصطناعي بنها رياضة,401.8,جامعة,حاسبات ومعلومات
حاسبات ومعلومات كفر الشيخ رياضة,401.8,جامعة,حاسبات ومعلومات
طب بيطري الإسكندرية,401.8,جامعة,طب بيطري
حاسبات ومعلومات الفيوم رياضة,401.488815,جامعة,حاسبات ومعلومات
المعهد العالى للهندسة والتكنولوجيا الحديثة بالمرج,401.380286,معهد,هندسة
ألسن كفر الشيخ,401.08719,جامعة,ألسن
معهد الإسكندرية العالي للتكنولوجيا بسموحة بمصروفات,401.07982,معهد,تكنولوجيا
حاسبات ومعلومات المنيا رياضة,401.078145,جامعة,حاسبات ومعلومات
حاسبات وذكاء اصطناعي السادات رياضة,399.75,جامعة,حاسبات ومعلومات
حاسبات ومعلومات السويس رياضة,399.75,جامعة,حاسبات ومعلومات
معهد عالي هندسة وتكنولوجيا المنيا الجديدة,399.75,معهد,هندسة
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,399.75,جامعة,حاسبات ومعلومات
المعهد الكندى العالى للهندسة 6 اكتوبر,399.75,معهد,هندسة
حاسبات ومعلومات بني سويف رياضة,399.75,جامعة,حاسبات ومعلومات
حاسبات و ذكاء إصطناعي جنوب الوادي فرع الغردقة رياضة,399.75,جامعة,حاسبات ومعلومات
حاسبات و معلومات العريش رياضة,399.307843,جامعة,حاسبات ومعلومات
الملاحة وتكنولوجيا الفضاء بني سويف,399.015082,جامعة,الملاحة والفضاء
حاسبات وذكاء اصطناعي مطروح رياضة,397.7,جامعة,حاسبات ومعلومات
طب بيطري بنها,397.7,جامعة,طب بيطري
حاسبات ومعلومات أسيوط رياضة,397.181806,جامعة,حاسبات ومعلومات
إعلام القاهرة,396.944649,جامعة,إعلام
العلوم الصحية التطبيقية المنوفية,396.530294,جامعة,طب
حاسبات ومعلومات الأقصر رياضة,396.269271,جامعة,حاسبات ومعلومات
حاسبات ومعلومات سوهاج رياضة,395.65,جامعة,حاسبات ومعلومات
حاسبات ومعلومات قنا رياضة,393.927263,جامعة,حاسبات ومعلومات
معهد عالي هندسه 6 اكتوبر بمصروفات,393.6,معهد,هندسة
طب بيطري الزقازيق,393.6,جامعة,طب بيطري
اقتصاد و علوم سياسية القاهرة,393.479077,جامعة,علوم سياسية
الاكاديمية الدولية لعلوم الإعلام (شعبة هندسة )6اكتوبر,393.254314,جامعة,هندسة
طب بيطري المنصورة,391.804575,جامعة,طب بيطري
