الكلية,الدرجة,النوع,المجال
طب القاهرة,410.0,جامعة,طب
طب أسنان القاهرة,410.0,جامعة,طب أسنان
طب الإسكندرية,410.0,جامعة,طب
طب أسنان الإسكندرية,410.0,جامعة,طب أسنان
طب بور سعيد,410.0,جامعة,طب
طب عين شمس,410.0,جامعة,طب
طب أسنان عين شمس,410.0,جامعة,طب أسنان
طب سوهاج,410.0,جامعة,طب
طب الفيوم,410.0,جامعة,طب
طب أسيوط,410.0,جامعة,طب
طب طنطا,410.0,جامعة,طب
طب أسنان طنطا,410.0,جامعة,طب أسنان
علاج طبيعي السويس,410.0,جامعة,طب
طب أسنان كفر الشيخ,410.0,جامعة,طب أسنان
طب المنصورة,410.0,جامعة,طب
طب أسنان المنصورة,410.0,جامعة,طب أسنان
صيدلة المنصورة,410.0,جامعة,صيدلة
طب الزقازيق,410.0,جامعة,طب
طب أسنان قناة السويس بالإسماعيلية,410.0,جامعة,طب أسنان
طب قناة السويس بالإسماعيلية,410.0,جامعة,طب
طب المنوفية بشبين الكوم,410.0,جامعة,طب
طب بنها,410.0,جامعة,طب
طب بني سويف,410.0,جامعة,طب
طب أسنان الزقازيق,410.0,جامعة,طب أسنان
طب المنيا,410.0,جامعة,طب
طب فاقوس,410.0,جامعة,طب
طب أسنان المنوفية,410.0,جامعة,طب أسنان
طب دمياط,410.0,جامعة,طب
طب الاقصر,410.0,جامعة,طب
طب جنوب الوادي,410.0,جامعة,طب
طب أسنان أسيوط,410.0,جامعة,طب أسنان
طب كفر الشيخ,410.0,جامعة,طب
طب حلوان,409.939706,جامعة,طب
طب السويس,409.937879,جامعة,طب
طب الوادي الجديد,409.935938,جامعة,طب
طب أسوان,409.935938,جامعة,طب
طب العريش,409.935938,جامعة,طب
طب أسنان السويس,409.933871,جامعة,طب أسنان
طب أسنان الفيوم,409.933871,جامعة,طب أسنان
صيدلة طنطا,409.933871,جامعة,صيدلة
صيدلة القاهرة,409.933871,جامعة,صيدلة
طب أسنان بني سويف,409.933868,جامعة,طب أسنان
علاج طبيعي كفر الشيخ,409.931667,جامعة,طب
طب أسنان جنوب الوادي,409.931667,جامعة,طب أسنان
طب أسنان المنيا,409.931667,جامعة,طب أسنان
علاج طبيعي القاهرة,409.906818,جامعة,طب
صيدلة المنوفية,409.906818,جامعة,صيدلة
علاج طبيعي بورسعيد,409.879412,جامعة,طب
علاج طبيعي قناة السويس,409.875758,جامعة,طب
علاج طبيعي بنها,409.875758,جامعة,طب
صيدلة الزقازيق,409.871875,جامعة,صيدلة
صيدلة عين شمس,409.871875,جامعة,صيدلة
صيدلة أسيوط,409.867742,جامعة,صيدلة
صيدلة جنوب الوادي,409.863333,جامعة,صيدلة
علاج طبيعي بني سويف,409.863333,جامعة,طب
صيدلة و تصنيع دوائي كفر الشيخ,409.863333,جامعة,صيدلة
صيدلة حلوان,409.813636,جامعة,صيدلة
علاج طبيعي جنوب الوادي,409.813636,جامعة,طب
صيدلة بور سعيد,409.807812,جامعة,صيدلة
صيدلة دمنهور,409.807812,جامعة,صيدلة
صيدلة قناة السويس بالإسماعيلية,409.801613,جامعة,صيدلة
صيدلة مدينة السادات,409.801613,جامعة,صيدلة
صيدلة الإسكندرية,409.795,جامعة,صيدلة
صيدلة الفيوم,409.784211,جامعة,صيدلة
صيدلة المنيا,409.772222,جامعة,صيدلة
صيدلة بني سويف,409.772217,جامعة,صيدلة
صيدلة ج الوادي الجديد,409.751515,جامعة,صيدلة
هندسة دمياط,409.726667,جامعة,هندسة
صيدلة سوهاج,409.726667,جامعة,صيدلة
ألسن قناة السويس بالإسماعيلية,409.615625,جامعة,ألسن
هندسة الطاقة أسوان,409.565152,جامعة,هندسة
هندسة المنصورة,409.537097,جامعة,هندسة
طب بيطري عين شمس,409.453333,جامعة,طب بيطري
طب بيطري جنوب الوادي,409.248333,جامعة,طب بيطري
هندسة القاهرة,409.244751,جامعة,هندسة
حاسبات و معلومات العريش رياضة,409.18,جامعة,حاسبات ومعلومات
حاسبات و ذكاء إصطناعي القاهرة رياضة,409.111667,جامعة,حاسبات ومعلومات
هندسة طنطا,409.111667,جامعة,هندسة
كلية الهندسة جامعة دمنهور,408.148387,جامعة,هندسة
اقتصاد و علوم سياسية القاهرة,407.950012,جامعة,علوم سياسية
طب بيطري القاهرة,407.95,جامعة,طب بيطري
حاسبات ومعلومات كفر الشيخ رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة عين شمس,407.95,جامعة,هندسة
حاسبات ومعلومات عين شمس رياضة,407.95,جامعة,حاسبات ومعلومات
فنون جميلة (عمارة) المنصورة,407.95,جامعة,فنون جميلة
طب بيطري المنوفية,407.95,جامعة,طب بيطري
هندسة الإسكندرية,407.95,جامعة,هندسة
تكنولوجيا العلوم الصحية التطبيقية المنوفية,407.95,جامعة,طب
هندسة بور سعيد,407.95,جامعة,هندسة
حاسبات ومعلومات المنصورة رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة الفيوم,407.95,جامعة,هندسة
طب بيطري المنصورة,407.95,جامعة,طب بيطري
هندسة الزقازيق,407.95,جامعة,هندسة
هندسة كفر الشيخ,407.95,جامعة,هندسة
حاسبات ومعلومات المنيا رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة بترول و تعدين السويس,407.95,جامعة,هندسة بترول
حاسبات وذكاء اصطناعي السادات رياضة,407.95,جامعة,حاسبات ومعلومات
هندسة المنيا,407.95,جامعة,هندسة
هندسة جنوب الوادي,407.95,جامعة,هندسة
هندسة بنها,407.95,جامعة,هندسة
طب بيطري كفر الشيخ,407.95,جامعة,طب بيطري
هندسة حلوان,407.95,جامعة,هندسة
هندسة المنوفية بشبين الكوم,407.95,جامعة,هندسة
هندسة بنها بشبرا,407.95,جامعة,هندسة
حاسبات ومعلومات دمنهور بالنوبارية رياضة,407.95,جامعة,حاسبات ومعلومات
الذكاء الاصطناعى كفر الشيخ رياضة,407.95,جامعة,حاسبات ومعلومات
تمريض بور سعيد,407.95,جامعة,تمريض
حاسبات و علوم البيانات الإسكندرية رياضة,407.887879,جامعة,حاسبات ومعلومات
هندسة السويس,407.885938,جامعة,هندسة
هندسة حلوان بالمطرية,407.881667,جامعة,هندسة
هندسة أسوان,407.881667,جامعة,هندسة
حاسبات ومعلومات دمياط رياضة,407.881667,جامعة,حاسبات ومعلومات
حاسبات ومعلومات سوهاج رياضة,407.881667,جامعة,حاسبات ومعلومات
كلية تكنولوجيا الصناعة والطاقة ج القاهرة الجديدة التكنولوجية,407.813333,جامعة,تكنولوجيا
هندسة سوهاج,407.813333,جامعة,هندسة
حاسبات ومعلومات الزقازيق رياضة,407.813333,جامعة,حاسبات ومعلومات
حاسبات و ذكاء إصطناعي حلوان رياضة,407.813333,جامعة,حاسبات ومعلومات
طب بيطري سوهاج,407.813333,جامعة,طب بيطري
هندسة إلكترونية المنوفية بمنوف,407.813333,جامعة,هندسة
هندسة قناة السويس بالإسماعيلية,407.813333,جامعة,هندسة
معهد المستقبل العالى للهندسة والتكنولوجيا بالمنصورة,407.751613,معهد,هندسة
هندسة أسيوط,407.745,جامعة,هندسة
تخطيط عمراني القاهرة,407.722222,جامعة,تخطيط عمراني
حاسبات ومعلومات طنطا رياضة,407.69375,جامعة,حاسبات ومعلومات
هندسة بني سويف,407.676667,جامعة,هندسة
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,407.676667,جامعة,حاسبات ومعلومات
ذكاء إصطناعي المنوفية شبين الكوم رياضة,407.626316,جامعة,حاسبات ومعلومات
معهد عالي هندسة وتكنولوجيا كفر الشيخ,407.608333,معهد,هندسة
فنون جميلة (عمارة) حلوان,407.565625,جامعة,فنون جميلة
حاسبات و ذكاء إصطناعي بنها رياضة,407.54,جامعة,حاسبات ومعلومات
حاسبات و ذكاء إصطناعي جنوب الوادي فرع الغردقة رياضة,407.471667,جامعة,حاسبات ومعلومات
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,407.28871,جامعة,حاسبات ومعلومات
حاسبات وذكاء اصطناعي مطروح رياضة,407.222581,جامعة,حاسبات ومعلومات
طب بيطري الزقازيق,407.198333,جامعة,طب بيطري
حاسبات ومعلومات أسيوط رياضة,407.13,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الفيوم رياضة,407.061667,جامعة,حاسبات ومعلومات
طب بيطري الإسكندرية,406.891935,جامعة,طب بيطري
حاسبات ومعلومات بني سويف رياضة,406.788333,جامعة,حاسبات ومعلومات
حاسبات ومعلومات الأقصر رياضة,406.759677,جامعة,حاسبات ومعلومات
حاسبات ومعلومات السويس رياضة,406.72,جامعة,حاسبات ومعلومات
طب بيطري بنها,406.241667,جامعة,طب بيطري
حاسبات ومعلومات قنا رياضة,406.036667,جامعة,حاسبات ومعلومات
معهد عالي هندسه 6 اكتوبر بمصروفات,405.9,معهد,هندسة
ألسن كفر الشيخ,405.9,جامعة,ألسن
طب بيطري أسيوط,405.9,جامعة,طب بيطري
إعلام القاهرة,405.9,جامعة,إعلام
إعلام بني سويف,405.9,جامعة,إعلام
