الكلية, الحد الأدنى
طب القاهرة,410
طب أسنان القاهرة,410
طب الإسكندرية,410
طب أسنان الإسكندرية,410
طب بور سعيد,410
طب عين شمس,410
طب أسنان عين شمس,410
طب طنطا,410
طب أسنان طنطا,410
طب المنصورة,410
طب الزقازيق,410
طب حلوان,410
طب المنوفية بشبين الكوم,410
طب أسنان الزقازيق,410
طب المنيا,410
طب أسنان أسيوط,410
طب كفر الشيخ,410
طب بنها,409.980288
طب فاقوس,409.960577
طب أسنان المنصورة,409.960577
طب قناة السويس بالإسماعيلية,409.960138
طب الفيوم,409.945902
طب السويس,409.940865
طب بني سويف,409.933871
طب أسنان المنيا,409.931666
طب أسيوط,409.931666
طب أسنان قناة السويس بالإسماعيلية,409.931666
طب سوهاج,409.931666
طب جنوب الوادي,409.93101
طب أسنان الفيوم,409.901442
طب أسوان,409.891806
طب أسنان بني سويف,409.891587
طب أسنان كفر الشيخ,409.881731
طب أسنان السويس,409.877862
طب أسنان جنوب الوادي,409.871875
صيدلة عين شمس,409.861143
علاج طبيعي القاهرة,409.848149
صيدلة الفيوم,409.834569
صيدلة القاهرة,409.795
صيدلة المنصورة,409.795
صيدلة بني سويف,409.775435
صيدلة طنطا,409.763315
صيدلة حلوان,409.74959
صيدلة المنوفية,409.747547
صيدلة الزقازيق,409.735484
صيدلة قناة السويس بالإسماعيلية,409.726666
صيدلة الإسكندرية,409.726666
صيدلة المنيا,409.694471
صيدلة و تصنيع دوائي كفر الشيخ,409.692501
صيدلة بور سعيد,409.684615
صيدلة دمنهور,409.67987
صيدلة مدينة السادات,409.658334
صيدلة أسيوط,409.650303
صيدلة جنوب الوادي,409.621976
صيدلة سوهاج,409.586058
علاج طبيعي بنها,409.577443
علاج طبيعي كفر الشيخ,409.553132
علاج طبيعي بني سويف,409.531158
حاسبات و علوم البيانات الإسكندرية رياضة,409.521666
علاج طبيعي جنوب الوادي,409.50546
هندسة سوهاج,409.248334
طب بيطري أسيوط,409.248334
هندسة بترول و تعدين السويس,409.160873
طب بيطري القاهرة,408.827528
طب بيطري كفر الشيخ,408.702981
طب بيطري المنوفية,408.691081
طب بيطري المنصورة,408.669325
هندسة المنصورة,407.95
حاسبات و ذكاء إصطناعي القاهرة رياضة,407.95
طب بيطري المنيا,407.95
هندسة الزقازيق,407.95
طب بيطري الزقازيق,407.95
هندسة كفر الشيخ,407.95
ألسن قناة السويس بالإسماعيلية,407.95
هندسة طنطا,407.95
الدراسات الاقتصادية و العلوم السياسة الإسكندرية,407.95
هندسة دمياط,407.95
طب بيطري بنها,407.95
حاسبات ومعلومات طنطا رياضة,407.95
هندسة جنوب الوادي,407.95
طب بيطري بني سويف,407.95
طب بيطري جنوب الوادي,407.95
اقتصاد و علوم سياسية القاهرة,407.95
هندسة القاهرة,407.95
تكنولوجيا العلوم الصحية التطبيقية المنوفية,407.95
هندسة الإسكندرية,407.95
طب بيطري الإسكندرية,407.95
ألسن سوهاج,407.95
هندسة قناة السويس بالإسماعيلية,407.930288
الذكاء الاصطناعى كفر الشيخ رياضة,407.930288
طب بيطري أسوان,407.930288
تكنولوجيا العلوم الصحية التطبيقية بني سويف,407.93
طب بيطري دمنهور,407.900721
هندسة بنها,407.896852
ألسن كفر الشيخ,407.890865
طب بيطري مدينة السادات,407.889259
هندسة عين شمس,407.883871
هندسة المنوفية بشبين الكوم,407.881666
هندسة بني سويف,407.88101
طب بيطري قناة السويس بالإسماعيلية,407.87
هندسة بور سعيد,407.851442
طب بيطري العريش,407.843704
هندسة حلوان,407.841587
هندسة بنها بشبرا,407.813334
طب بيطري مطروح,407.813334
هندسة حلوان بالمطرية,407.805741
طب بيطري الوادي الجديد,407.798149
هندسة الفيوم,407.798149
هندسة أسوان,407.778583
هندسة السويس,407.77172
هندسة أسيوط,407.77099
هندسة المنيا,407.751613
طب بيطري سوهاج,407.745
هندسة إلكترونية المنوفية بمنوف,407.745
حاسبات ومعلومات كفر الشيخ رياضة,407.737407
الملاحة وتكنولوجيا الفضاء بني سويف,407.734706
حاسبات ومعلومات المنيا رياضة,407.715579
حاسبات ومعلومات دمنهور بالنوبارية رياضة,407.685484
تخطيط عمراني القاهرة,407.684259
ألسن عين شمس,407.676666
هندسة الطاقة أسوان,407.676666
حاسبات ومعلومات عين شمس رياضة,407.608334
علوم البترول والتعدين مطروح,407.543797
حاسبات ومعلومات دمياط رياضة,407.147448
حاسبات ومعلومات سوهاج رياضة,406.979389
المصرية الصينية للتكنولوجيا قناة السويس بالإسماعيلية,406.925
حاسبات ومعلومات المنصورة رياضة,406.89098
حاسبات و ذكاء إصطناعي حلوان رياضة,406.856666
ألسن أسوان,406.841481
سياسة واقتصاد السويس,406.759677
ألسن المنيا,406.583334
حاسبات و ذكاء إصطناعي بنها رياضة,406.468569
سياسة واقتصاد بني سويف,406.173334
حاسبات ومعلومات بني سويف رياضة,405.9
علوم الإسكندرية,405.9
علوم القاهرة,405.9
فنون جميلة (عمارة) حلوان,405.9
الاعاقة والتأهيل الزقازيق,405.9
حاسبات ومعلومات الزقازيق رياضة,405.9
حاسبات ومعلومات الفيوم رياضة,405.9
ألسن بني سويف,405.9
ألسن الأقصر,405.9
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,405.9
تربية (تعليم ابتدائي) بنات عين شمس,405.9
حاسبات وذكاء اصطناعي السادات رياضة,405.840865
حاسبات ومعلومات السويس رياضة,405.831666
حاسبات وذكاء اصطناعي مطروح رياضة,405.78611
علوم طنطا,405.695
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,405.681421
علوم دمنهور,405.634259
فنون جميلة (فنون) المنصورة,405.515625
حاسبات و ذكاء إصطناعي جنوب الوادي فرع الغردقة رياضة,405.513873
حاسبات ومعلومات أسيوط رياضة,405.446635
حاسبات ومعلومات الأقصر رياضة,405.353334
العالي للهندسة والتكنولوجيا التجمع الخامس,405.346909
علوم الفيوم,405.274195
حاسبات ومعلومات قنا رياضة,405.216666
علوم المنصورة,405.180529
المعهد العالى للهندسة والتكنولوجيا بالزقازيق,405.180529
هندسة جامعة العلوم والتكنولوجيا زويل,404.983478
علوم كفر الشيخ,404.437696
