الكلية, الحد الأدنى
علوم القاهرة,399.75
تكنولوجيا العلوم الصحية التطبيقية بني سويف,399.75
الكلية المصرية الكورية لتكنولوجيا الصناعة و الطاقة ج بنى سويف التكنولوجية,399.75
ك.ت. فني منشات بحريه بور سعيد,399.683871
إعلام المنوفية,399.617742
المعهد الكندي العالي للحاسب الآلي بالتجمع الخامس القاهرة الجديدة رياضة,398.93
معهد هندسة وتكنولوجيا الطيران إمبابة جيزة بمصروفات,398.93
معهد النيل العالى للهندسة والتكنولوجيا بالمنصورة,398.383333
دار العلوم القاهرة,397.832258
معهد الإسكندرية العالي للتكنولوجيا بسموحة بمصروفات,396.47
ألسن قناة السويس بالإسماعيلية,395.65
طب بيطري مدينة السادات,395.65
طب بيطري الوادي الجديد,395.65
المعهد العالى للهندسة وتكنولوجيا السيارات والطاقة بهليوبوليس الجديدة,395.65
فنون جميلة (عمارة) حلوان,394.98871
الاهرامات العالي للهندسة والتكنولوجيا -6 اكتوبر,394.327419
طب بيطري قناة السويس بالإسماعيلية,394.146667
العالي للهندسة والتكنولوجيا التجمع الخامس,393.6
المعهد الكندي العالي للحاسب الآلي بالتجمع الخامس القاهرة الجديدة,393.6
طب بيطري بني سويف,393.6
ع.هندسةوتكنوالعبور ك21 طريق بلبيس الصحراوى,393.395
المعهد العالي للهندسة والتكنولوجيا بالبحيرة,391.55
مصر العالي هندسة وتكنولوجيا منصورة,391.55
تمريض عين شمس,391.549988
إعلام القاهرة,391.417742
كلية تكنولوجيا العلوم الصحية 6 أكتوبر التكنولوجية,391.345
طب بيطري جنوب الوادي,389.5
سياسة واقتصاد بني سويف,388.970968
معهد تكنولوجي عالي العاشر من رمضان شعبة (هندسة) بمصروفات,388.27
الاعاقة والتأهيل الزقازيق,387.450012
تمريض حلوان,387.45
إعلام عين شمس,387.45
معهد العبور العالي للهندسه والتكنولوجيا بمصروفات,387.383871
تكنولوجيا الادارة ونظم المعلومات بور سعيد,387.053226
كلية تكنولوجيا الصناعة والطاقة ج القاهرة الجديدة التكنولوجية,386.63
إعلام بني سويف,385.4
تمريض بور سعيد,385.4
المعهد العالى للهندسة والتكنولوجيا بالزقازيق,385.331667
