الكلية, الحد الأدنى
طب القاهرة,410
طب أسنان القاهرة,410
طب المنصورة,410
طب الزقازيق,410
طب كفر الشيخ,410
طب أسنان المنصورة,409.96522
طب طنطا,409.96058
طب بور سعيد,409.94087
طب عين شمس,409.92115
طب أسيوط,409.87582
طب حلوان,409.86334
طب أسنان جنوب الوادي,409.83836
طب الإسكندرية,409.80288
طب بنها,409.80161
طب أسنان عين شمس,409.78036
طب المنوفية بشبين الكوم,409.75656
طب بني سويف,409.72404
طب أسوان,409.68462
طب أسنان الإسكندرية,409.67082
طب أسنان الفيوم,409.66936
طب أسنان كفر الشيخ,409.59732
طب الفيوم,409.58606
طب قناة السويس بالإسماعيلية,409.52692
طب السويس,409.47835
طب المنيا,409.16536
طب سوهاج,409.14311
طب أسنان طنطا,409.13973
طب جنوب الوادي,409.04334
طب أسنان أسيوط,409.00752
طب أسنان بني سويف,408.975
طب أسنان الزقازيق,408.91192
طب أسنان قناة السويس بالإسماعيلية,408.88827
طب أسنان المنيا,408.85476
صيدلة الفيوم,408.70167
صيدلة سوهاج,407.95
صيدلة عين شمس,407.95
صيدلة المنوفية,407.95
صيدلة الإسكندرية,407.95
صيدلة القاهرة,407.95
صيدلة الزقازيق,407.95
صيدلة المنصورة,407.95
صيدلة طنطا,407.95
صيدلة أسيوط,407.95
هندسة بترول و تعدين السويس,407.95
علاج طبيعي القاهرة,407.95
صيدلة و تصنيع دوائي كفر الشيخ,407.95
صيدلة المنيا,407.95
صيدلة بني سويف,407.95
صيدلة مدينة السادات,407.95
صيدلة قناة السويس بالإسماعيلية,407.95
علاج طبيعي كفر الشيخ,407.95
صيدلة بور سعيد,407.93029
صيدلة حلوان,407.90072
علاج طبيعي بني سويف,407.89875
صيدلة جنوب الوادي,407.89784
صيدلة دمنهور,407.89087
علاج طبيعي جنوب الوادي,407.88387
هندسة القاهرة,407.87904
هندسة بني سويف,407.8613
علوم البترول والتعدين مطروح,407.81334
هندسة الطاقة أسوان,407.72134
هندسة الفيوم,407.6494
هندسة المنصورة,407.4871
هندسة كفر الشيخ,407.47167
هندسة قناة السويس بالإسماعيلية,407.42764
هندسة عين شمس,407.36429
اقتصاد و علوم سياسية القاهرة,406.82433
هندسة سوهاج,406.78307
هندسة جنوب الوادي,406.73774
هندسة الإسكندرية,406.72
هندسة طنطا,406.51669
هندسة حلوان,406.48571
هندسة دمياط,406.30409
هندسة الزقازيق,405.96237
هندسة بور سعيد,405.9
هندسة السويس,405.9
هندسة بنها,405.9
هندسة حلوان بالمطرية,405.9
هندسة المنوفية بشبين الكوم,405.9
هندسة بنها بشبرا,405.9
هندسة أسوان,405.9
الملاحة وتكنولوجيا الفضاء بني سويف,405.9
هندسة المنيا,405.85072
هندسة إلكترونية المنوفية بمنوف,405.84087
هندسة أسيوط,405.83167
طب بيطري القاهرة,405.82313
الدراسات الاقتصادية و العلوم السياسة الإسكندرية,405.812
طب بيطري المنوفية,405.76334
حاسبات ومعلومات طنطا,405.74287
الذكاء الاصطناعى كفر الشيخ,405.70161
تخطيط عمراني القاهرة,405.68036
حاسبات ومعلومات كفر الشيخ,405.51745
حاسبات ومعلومات المنصورة,405.392
طب بيطري المنصورة,405.32752
سياسة واقتصاد السويس,405.28528
طب بيطري الزقازيق,405.285
طب بيطري كفر الشيخ,405.18053
حاسبات ومعلومات دمنهور بالنوبارية,405.10645
طب بيطري الإسكندرية,405.04311
طب بيطري بنها,404.94334
طب بيطري أسوان,404.875
حاسبات ومعلومات المنيا,404.875
حاسبات ومعلومات الزقازيق,404.77278
طب بيطري أسيوط,404.75138
طب بيطري مدينة السادات,404.60167
طب بيطري دمنهور,404.59636
حاسبات و ذكاء إصطناعي القاهرة,404.55469
طب بيطري قناة السويس بالإسماعيلية,404.43149
فنون جميلة (عمارة) الإسكندرية,404.32834
فنون جميلة (عمارة) حلوان,404.03304
حاسبات و ذكاء إصطناعي بنها,403.85
حاسبات ومعلومات عين شمس,403.85
فنون جميلة (عمارة) المنصورة,403.85
طب بيطري المنيا,403.85
طب بيطري بني سويف,403.85
المصرية الصينية للتكنولوجيا قناة السويس بالإسماعيلية,403.85
طب بيطري مطروح,403.85
سياسة واقتصاد بني سويف,403.85
طب بيطري سوهاج,403.83747
معهد هندسة وتكنولوجيا الطيران إمبابة جيزة بمصروفات,403.83029
ألسن سوهاج,403.83029
طب بيطري جنوب الوادي,403.80072
طب بيطري الوادي الجديد,403.79087
حاسبات و ذكاء إصطناعي حلوان,403.78045
حاسبات ومعلومات المنوفية بشبين الكوم,403.69625
حاسبات ومعلومات الفيوم,403.645
فنون جميلة (عمارة) أسيوط,403.61022
حاسبات ومعلومات السويس,403.56418
حاسبات ومعلومات سوهاج,403.55601
حاسبات ومعلومات قناة السويس بالإسماعيلية,403.50589
الاكاديمية المصرية للهندسة والتكنولوجيا المتقدمة وزارة الانتاج الحربى,403.45323
حاسبات ومعلومات أسيوط,403.44337
حاسبات ومعلومات بني سويف,403.44
حاسبات ومعلومات الأقصر,403.42719
ألسن كفر الشيخ,403.40705
فنون جميلة (عمارة) المنيا,403.30334
معهد تكنولوجي عالي العاشر من رمضان شعبة (هندسة) بمصروفات,403.15714
ألسن بني سويف,402.96167
ألسن أسوان,402.92947
معهد العبور العالي للهندسه والتكنولوجيا بمصروفات,402.67857
تكنولوجيا الادارة ونظم المعلومات بور سعيد,402.07334
معهد عالي تكنولوجيا 10 رمضان فرع 6 اكتوبر هندسة بمصروفات,401.8
علوم الارض بني سويف,401.8
المعهد العالى للهندسة بالمنيا,401.8
أكاديمية أخبار اليوم شعبة هندسية 6 أكتوبر,401.78029
معهد المستقبل العالى للهندسة والتكنولوجيا بالفيوم,401.58402
أكاديمية أخبار اليوم 6اكتوبر شعبة علوم حاسب,401.58036
ألسن الأقصر,401.58036
مصر العالي هندسة وتكنولوجيا منصورة,401.40323
المعهد العالى للهندسة والتكنولوجيا بالزقازيق,401.11009
ألسن عين شمس,400.74193
ألسن قناة السويس بالإسماعيلية,400.62378
علوم دمنهور,400.61365
علوم القاهرة,400.60968
الاكاديمية الدولية لعلوم الإعلام (شعبة هندسة )6اكتوبر,400.02334
