الكلية, الحد الأدنى
طب القاهرة,410
طب أسنان القاهرة,410
طب الإسكندرية,410
طب أسنان الإسكندرية,410
طب عين شمس,410
طب أسنان عين شمس,410
طب طنطا,410
طب أسنان كفر الشيخ,410
طب المنصورة,410
طب أسنان قناة السويس بالإسماعيلية,410
طب الزقازيق,410
طب قناة السويس بالإسماعيلية,410
طب المنوفية بشبين الكوم,410
طب بني سويف,410
طب أسنان الزقازيق,410
طب المنيا,410
طب أسنان الفيوم,410
طب كفر الشيخ,410
طب أسنان طنطا,409.960577
طب حلوان,409.950721
طب بور سعيد,409.933871
طب بنها,409.933871
طب فاقوس,409.926787
طب الفيوم,409.921154
طب سوهاج,409.8975
طب السويس,409.867742
طب جنوب الوادي,409.863334
طب أسيوط,409.858077
طب أسنان السويس,409.795
طب أسوان,409.780357
طب أسنان المنصورة,409.76
طب أسنان بني سويف,409.74375
طب أسنان المنيا,409.74375
طب أسنان أسيوط,409.735484
طب أسنان جنوب الوادي,409.726666
صيدلة بور سعيد,409.566346
صيدلة القاهرة,409.47863
صيدلة المنوفية,409.453334
صيدلة عين شمس,409.316666
صيدلة سوهاج,409.272581
صيدلة حلوان,409.268702
صيدلة الفيوم,409.104956
علاج طبيعي القاهرة,409.043334
علاج طبيعي بنها,408.994712
صيدلة المنيا,408.941935
صيدلة المنصورة,408.701666
علاج طبيعي كفر الشيخ,408.501923
صيدلة و تصنيع دوائي كفر الشيخ,408.425048
علاج طبيعي بني سويف,408.291666
هندسة بترول و تعدين السويس,407.95
صيدلة بني سويف,407.95
صيدلة قناة السويس بالإسماعيلية,407.95
صيدلة الزقازيق,407.95
صيدلة مدينة السادات,407.95
صيدلة أسيوط,407.95
صيدلة جنوب الوادي,407.95
صيدلة طنطا,407.95
صيدلة الإسكندرية,407.95
علاج طبيعي جنوب الوادي,407.95
هندسة القاهرة,407.95
صيدلة دمنهور,407.95
هندسة عين شمس,407.880446
طب بيطري سوهاج,407.82
هندسة المنصورة,407.664183
هندسة سوهاج,407.589278
هندسة بنها بشبرا,407.553226
تكنولوجيا العلوم الصحية التطبيقية بني سويف,407.553226
هندسة دمياط,407.471666
طب بيطري القاهرة,407.420967
هندسة طنطا,407.403334
هندسة الطاقة أسوان,407.388221
هندسة حلوان,407.362596
هندسة كفر الشيخ,407.266666
هندسة حلوان بالمطرية,407.200962
هندسة الفيوم,407.162243
هندسة الزقازيق,407.131971
هندسة قناة السويس بالإسماعيلية,407.003846
هندسة بنها,406.91796
هندسة بور سعيد,406.915144
هندسة الإسكندرية,406.851787
علوم البترول والتعدين مطروح,406.818558
هندسة المنوفية بشبين الكوم,406.788334
هندسة بني سويف,406.788334
هندسة السويس,406.750553
طب بيطري كفر الشيخ,406.693549
طب بيطري بني سويف,406.627356
هندسة أسوان,406.515
هندسة إلكترونية المنوفية بمنوف,406.446666
هندسة المنيا,406.333794
طب بيطري المنوفية,406.31
طب بيطري الإسكندرية,405.9
اقتصاد و علوم سياسية القاهرة,405.9
هندسة أسيوط,405.9
طب بيطري المنصورة,405.9
حاسبات و ذكاء إصطناعي القاهرة رياضة,405.9
الملاحة وتكنولوجيا الفضاء بني سويف,405.9
حاسبات ومعلومات دمياط رياضة,405.9
هندسة جنوب الوادي,405.9
تخطيط عمراني القاهرة,405.880288
حاسبات و علوم البيانات الإسكندرية رياضة,405.880288
حاسبات ومعلومات طنطا رياضة,405.870433
الاكاديمية المصرية للهندسة والتكنولوجيا المتقدمة وزارة الانتاج الحربى,405.830446
الذكاء الاصطناعى كفر الشيخ رياضة,405.782294
تكنولوجيا العلوم الصحية التطبيقية المنوفية,405.711332
طب بيطري المنيا,405.626666
طب بيطري الزقازيق,405.523862
طب بيطري بنها,405.348077
حاسبات ومعلومات كفر الشيخ رياضة,405.238709
هندسة جامعة العلوم والتكنولوجيا زويل,405.011666
طب بيطري أسوان,405.011666
ألسن بني سويف,404.853176
طب بيطري دمنهور,404.8184
طب بيطري أسيوط,404.738005
حاسبات ومعلومات المنصورة رياضة,404.465
طب بيطري العريش,404.211566
طب بيطري مدينة السادات,403.859011
حاسبات وذكاء اصطناعي السادات رياضة,403.85
طب بيطري الوادي الجديد,403.85
حاسبات ومعلومات دمنهور بالنوبارية رياضة,403.85
طب بيطري جنوب الوادي,403.85
طب بيطري مطروح,403.85
حاسبات ومعلومات عين شمس رياضة,403.85
المعهد العالى للهندسة والتكنولوجيا ببرج العرب بالاسكندرية,403.85
الدراسات الاقتصادية و العلوم السياسة الإسكندرية,403.85
طب بيطري قناة السويس بالإسماعيلية,403.85
حاسبات ومعلومات الزقازيق رياضة,403.85
هندسة الجامعة المصرية اليابانية,403.70357
حاسبات و ذكاء إصطناعي بنها رياضة,403.682453
حاسبات و ذكاء إصطناعي حلوان رياضة,403.630357
حاسبات و ذكاء إصطناعي جنوب الوادي فرع الغردقة رياضة,403.436058
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,403.188709
سياسة واقتصاد بني سويف,402.893334
حاسبات ومعلومات الفيوم رياضة,402.890471
حاسبات وذكاء اصطناعي مطروح رياضة,402.839643
سياسة واقتصاد السويس,402.836968
مركز التكنولوجيا المتميز بوزارة الصناعة والتجارة الخارجية,402.691384
حاسبات ومعلومات السويس رياضة,402.67857
تكنولوجيا الادارة ونظم المعلومات بور سعيد,402.55101
حاسبات ومعلومات بني سويف رياضة,402.483334
العالي للهندسة والتكنولوجيا التجمع الخامس,402.320385
ألسن كفر الشيخ,402.178462
حاسبات ومعلومات أسيوط رياضة,401.8
معهد هندسة وتكنولوجيا الطيران إمبابة جيزة بمصروفات,401.8
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,401.8
المعهد العالي للهندسة والتكنولوجيا بدمياط الجديدة,401.8
المصرية الصينية للتكنولوجيا قناة السويس بالإسماعيلية,401.8
حاسبات ومعلومات المنيا رياضة,401.8
معهد تكنولوجي عالي العاشر من رمضان شعبة (هندسة) بمصروفات,401.8
المعهد العالى للهندسة بالمنيا,401.780288
مصر العالي هندسة وتكنولوجيا منصورة,401.764519
حاسبات ومعلومات الأقصر رياضة,401.691587
