الكلية, الحد الأدنى
طب القاهرة,410
طب أسنان القاهرة,410
طب الإسكندرية,410
طب أسنان الإسكندرية,410
طب بور سعيد,410
طب عين شمس,410
طب أسنان عين شمس,410
طب سوهاج,410
طب الفيوم,410
طب أسيوط,410
طب طنطا,410
طب أسنان طنطا,410
طب المنصورة,410
طب أسنان المنصورة,410
طب الزقازيق,410
طب قناة السويس بالإسماعيلية,410
طب المنوفية بشبين الكوم,410
طب بنها,410
طب بني سويف,410
طب أسنان الزقازيق,410
طب المنيا,410
طب أسنان المنوفية,410
طب دمياط,410
طب كفر الشيخ,410
طب حلوان,409.935938
طب أسنان الفيوم,409.933871
طب فاقوس,409.933871
طب السويس,409.931666
طب أسوان,409.8975
طب أسنان قناة السويس بالإسماعيلية,409.892106
طب الوادي الجديد,409.871875
طب أسنان كفر الشيخ,409.867742
طب جنوب الوادي,409.867742
طب أسنان بني سويف,409.863334
طب أسنان السويس,409.863334
طب أسنان المنيا,409.863334
طب أسنان أسيوط,409.801613
حاسبات و علوم البيانات الإسكندرية رياضة,409.795
طب أسنان جنوب الوادي,409.795
علاج طبيعي كفر الشيخ,409.735484
علاج طبيعي بنها,409.679688
علاج طبيعي القاهرة,409.658334
علاج طبيعي السويس,409.615625
علاج طبيعي بني سويف,409.59
علاج طبيعي جنوب الوادي,409.568421
صيدلة الفيوم,409.537097
صيدلة القاهرة,409.453334
صيدلة سوهاج,409.404839
صيدلة الزقازيق,409.316666
صيدلة المنصورة,409.272581
صيدلة حلوان,409.206451
صيدلة قناة السويس بالإسماعيلية,409.18
صيدلة عين شمس,409.18
صيدلة طنطا,408.828571
صيدلة المنوفية,408.77
هندسة القاهرة,408.743549
صيدلة بني سويف,408.743549
صيدلة و تصنيع دوائي كفر الشيخ,408.743549
صيدلة بور سعيد,408.677419
صيدلة أسيوط,408.677419
صيدلة الإسكندرية,408.611291
صيدلة مدينة السادات,408.496666
صيدلة المنيا,408.018334
حاسبات ومعلومات دمياط رياضة,407.95
الذكاء الاصطناعى كفر الشيخ رياضة,407.95
هندسة دمياط,407.95
هندسة سوهاج,407.95
هندسة بترول و تعدين السويس,407.95
هندسة الزقازيق,407.95
هندسة المنصورة,407.95
حاسبات و ذكاء إصطناعي القاهرة رياضة,407.95
صيدلة دمنهور,407.95
صيدلة جنوب الوادي,407.95
هندسة عين شمس,407.95
اقتصاد و علوم سياسية القاهرة,407.883871
هندسة طنطا,407.883871
هندسة كفر الشيخ,407.881666
الملاحة وتكنولوجيا الفضاء بني سويف,407.881666
هندسة حلوان,407.842106
هندسة بور سعيد,407.842106
هندسة الطاقة أسوان,407.817742
هندسة قناة السويس بالإسماعيلية,407.813334
هندسة بنها بشبرا,407.751613
هندسة أسيوط,407.745
هندسة جنوب الوادي,407.745
حاسبات ومعلومات عين شمس رياضة,407.734211
هندسة أسوان,407.685484
هندسة حلوان بالمطرية,407.6425
طب بيطري القاهرة,407.608334
هندسة بنها,407.608334
هندسة المنوفية بشبين الكوم,407.59
تكنولوجيا العلوم الصحية التطبيقية المنوفية,407.565625
حاسبات ومعلومات المنيا رياضة,407.565625
هندسة إلكترونية المنوفية بمنوف,407.559524
هندسة المنيا,407.553226
هندسة الإسكندرية,407.54
حاسبات و ذكاء إصطناعي حلوان رياضة,407.487097
هندسة الفيوم,407.476923
هندسة السويس,407.471666
طب بيطري المنصورة,407.4375
هندسة بني سويف,407.410527
طب بيطري الإسكندرية,407.403334
علوم البترول والتعدين مطروح,407.354839
طب بيطري المنوفية,407.335
حاسبات ومعلومات المنصورة رياضة,407.156451
حاسبات ومعلومات المنوفية بشبين الكوم رياضة,407.156451
ذكاء إصطناعي المنوفية شبين الكوم رياضة,407.13
حاسبات ومعلومات طنطا رياضة,407.061666
طب بيطري كفر الشيخ,407.061666
حاسبات و ذكاء إصطناعي بنها رياضة,407.061666
تخطيط عمراني القاهرة,406.958065
المصرية الصينية للتكنولوجيا قناة السويس بالإسماعيلية,406.891935
طب بيطري الزقازيق,406.856666
حاسبات ومعلومات كفر الشيخ رياضة,406.759677
طب بيطري أسيوط,406.72
حاسبات ومعلومات الزقازيق رياضة,406.72
حاسبات ومعلومات الفيوم رياضة,406.378334
تربية نوعية القاهرة,406.223684
التكنولوجيا والتعليم الصناعي حلوان,406.173334
المعهد العالى للهندسة والتكنولوجيا بطنطا,406.105
طب بيطري بنها,405.9
حاسبات ومعلومات قناة السويس بالإسماعيلية رياضة,405.9
حاسبات ومعلومات السويس رياضة,405.9
الدراسات الاقتصادية و العلوم السياسة الإسكندرية,405.9
طب بيطري جنوب الوادي,405.9
حاسبات و ذكاء إصطناعي جنوب الوادي فرع الغردقة رياضة,405.9
حاسبات وذكاء اصطناعي مطروح رياضة,405.9
حاسبات وذكاء اصطناعي السادات رياضة,405.9
حاسبات ومعلومات دمنهور بالنوبارية رياضة,405.9
حاسبات ومعلومات بني سويف رياضة,405.831666
طب بيطري دمنهور,405.831666
ألسن قناة السويس بالإسماعيلية,405.771875
طب بيطري أسوان,405.707813
حاسبات ومعلومات أسيوط رياضة,405.695
طب بيطري المنيا,405.695
معهد المنصورة العالى للهندسة والتكنولوجيا,405.64375
حاسبات ومعلومات الأقصر رياضة,405.626666
تكنولوجيا العلوم الصحية التطبيقية بني سويف,405.626666
حاسبات ومعلومات سوهاج رياضة,405.503226
حاسبات و معلومات العريش رياضة,405.503226
حاسبات ومعلومات قنا رياضة,405.49
المعهد العالى للهندسة والتكنولوجيا الحديثة بالمرج,405.216666
سياسة واقتصاد السويس,405.08
طب بيطري قناة السويس بالإسماعيلية,404.875
طب بيطري العريش,404.810938
طب بيطري الوادي الجديد,404.123334
طب بيطري مطروح,403.85
معهد عالي هندسه 6 اكتوبر بمصروفات,403.85
طب بيطري بني سويف,403.85
علوم السويس,403.85
المعهد الكندي العالي للحاسب الآلي بالتجمع الخامس القاهرة الجديدة رياضة,403.85
المعهد العالى للهندسة والتكنولوجيا بالمحلة الكبرى,403.85
سياسة واقتصاد بني سويف,403.85
طب بيطري مدينة السادات,403.85
معهد عالي هندسة وتكنولوجيا المنيا الجديدة,403.85
