الكلية, الحد الأدنى
طب القاهرة,410
طب أسنان القاهرة,410
طب أسنان الإسكندرية,410
طب أسنان عين شمس,410
صيدلة جنوب الوادي,410
طب طنطا,410
طب المنصورة,410
طب أسنان المنصورة,410
طب أسنان قناة السويس بالإسماعيلية,410
طب أسنان الزقازيق,410
طب المنيا,410
طب أسنان أسيوط,410
طب كفر الشيخ,410
طب الزقازيق,409.98029
طب عين شمس,409.98029
طب أسنان الفيوم,409.97043
طب بور سعيد,409.96058
طب أسنان طنطا,409.95072
طب الإسكندرية,409.94685
طب حلوان,409.94087
طب بنها,409.94087
طب المنوفية بشبين الكوم,409.93926
طب قناة السويس بالإسماعيلية,409.93167
طب بني سويف,409.92115
طب الفيوم,409.91502
طب السويس,409.89159
طب أسنان كفر الشيخ,409.88173
طب أسيوط,409.86334
طب سوهاج,409.86202
طب أسوان,409.86158
طب أسنان بني سويف,409.85574
طب جنوب الوادي,409.85216
طب أسنان المنيا,409.85056
طب أسنان جنوب الوادي,409.84815
صيدلة و تصنيع دوائي كفر الشيخ,409.80201
صيدلة الفيوم,409.52167
صيدلة المنوفية,409.41238
علاج طبيعي كفر الشيخ,409.35185
صيدلة المنصورة,409.15167
صيدلة بور سعيد,409.13561
صيدلة القاهرة,409.12181
صيدلة سوهاج,408.98011
علاج طبيعي القاهرة,408.85447
صيدلة الزقازيق,408.83834
صيدلة قناة السويس بالإسماعيلية,408.62187
صيدلة مدينة السادات,407.95
صيدلة بني سويف,407.95
صيدلة حلوان,407.95
صيدلة المنيا,407.95
فنون جميلة (عمارة) المنصورة,407.95
صيدلة عين شمس,407.95
صيدلة أسيوط,407.95
صيدلة طنطا,407.95
صيدلة دمنهور,407.95
صيدلة الإسكندرية,407.95
علاج طبيعي بني سويف,407.95
علاج طبيعي جنوب الوادي,407.93029
هندسة بترول و تعدين السويس,407.90072
طب بيطري المنصورة,407.80516
طب بيطري بني سويف,407.74215
طب بيطري المنيا,407.72543
هندسة جنوب الوادي,407.72412
طب بيطري كفر الشيخ,407.69491
طب بيطري القاهرة,407.66542
هندسة المنصورة,407.59862
هندسة القاهرة,407.55329
هندسة الفيوم,407.5427
هندسة بني سويف,407.46707
هندسة دمياط,407.46597
طب بيطري الزقازيق,407.40334
طب بيطري المنوفية,407.24462
هندسة كفر الشيخ,407.19337
طب بيطري أسيوط,407.10956
هندسة الإسكندرية,407.06167
هندسة بور سعيد,406.99516
هندسة طنطا,406.79812
هندسة سوهاج,406.65517
طب بيطري الإسكندرية,406.6237
طب بيطري سوهاج,406.54712
هندسة الزقازيق,406.36285
طب بيطري دمنهور,406.24167
هندسة المنوفية بشبين الكوم,406.105
هندسة بنها بشبرا,405.9
طب بيطري بنها,405.9
طب بيطري قناة السويس بالإسماعيلية,405.9
هندسة أسوان,405.9
هندسة السويس,405.9
هندسة بنها,405.9
ألسن كفر الشيخ,405.9
هندسة عين شمس,405.9
هندسة إلكترونية المنوفية بمنوف,405.9
هندسة قناة السويس بالإسماعيلية,405.9
اقتصاد و علوم سياسية القاهرة,405.9
طب بيطري أسوان,405.9
طب بيطري الوادي الجديد,405.88029
هندسة الطاقة أسوان,405.86058
طب بيطري مدينة السادات,405.83167
طب بيطري مطروح,405.79984
طب بيطري جنوب الوادي,405.78771
هندسة حلوان,405.69967
هندسة حلوان بالمطرية,405.65185
هندسة المنيا,405.63827
سياسة واقتصاد السويس,405.57432
الذكاء الاصطناعى كفر الشيخ,405.50007
هندسة أسيوط,405.49
الدراسات الاقتصادية و العلوم السياسة الإسكندرية,405.43678
تخطيط عمراني القاهرة,405.37239
سياسة واقتصاد بني سويف,405.35334
فنون جميلة (عمارة) أسيوط,405.29836
حاسبات ومعلومات طنطا,405.14834
فنون جميلة (عمارة) حلوان,404.90332
ألسن أسوان,404.875
علوم البترول والتعدين مطروح,404.73834
حاسبات ومعلومات دمنهور بالنوبارية,404.41368
الملاحة وتكنولوجيا الفضاء بني سويف,403.92235
ألسن عين شمس,403.85
علوم كفر الشيخ,403.85
حاسبات ومعلومات كفر الشيخ,403.85
فنون تطبيقية حلوان,403.85
حاسبات ومعلومات المنصورة,403.85
حاسبات و ذكاء إصطناعي القاهرة,403.85
ألسن الأقصر,403.7959
حاسبات و ذكاء إصطناعي بنها,403.77115
ألسن قناة السويس بالإسماعيلية,403.71355
حاسبات ومعلومات بني سويف,403.71041
حاسبات ومعلومات المنوفية بشبين الكوم,403.70574
ألسن بني سويف,403.68836
حاسبات ومعلومات أسيوط,403.645
حاسبات ومعلومات الزقازيق,403.64471
حاسبات ومعلومات عين شمس,403.62222
فنون تطبيقية بنها,403.60937
المعهد العالى للهندسة والتكنولوجيا بطنطا,403.55644
ألسن المنيا,403.50834
ألسن سوهاج,403.32932
حاسبات ومعلومات سوهاج,403.32239
حاسبات ومعلومات الأقصر,403.23529
حاسبات و ذكاء إصطناعي حلوان,403.235
حاسبات ومعلومات قناة السويس بالإسماعيلية,403.22777
حاسبات ومعلومات السويس,403.0957
حاسبات ومعلومات المنيا,402.9897
علوم الفيوم,402.98795
علوم القاهرة,402.93042
حاسبات ومعلومات الفيوم,402.89662
علوم الارض بني سويف,402.66701
إعلام القاهرة,402.42004
فنون جميلة (عمارة) الإسكندرية,402.32141
علوم الإسكندرية,402.27943
فنون تطبيقية بني سويف,402.15167
معهد المستقبل العالى للهندسة والتكنولوجيا بالفيوم,402.0112
إعلام وتكنولوجيا اتصال السويس,401.93667
فنون تطبيقية دمياط,401.82467
المصرية الصينية للتكنولوجيا قناة السويس بالإسماعيلية,401.8
فنون جميلة (فنون) المنصورة,401.79328
فنون جميلة (عمارة) المنيا,401.74335
علوم دمنهور,401.74087
مركز التكنولوجيا المتميز بوزارة الصناعة والتجارة الخارجية,401.73167
تكنولوجيا الادارة ونظم المعلومات بور سعيد,401.671
تربية الإسكندرية,401.66334
علوم بنات عين شمس,401.60259
علوم بني سويف,401.595
أكاديمية أخبار اليوم شعبة هندسية 6 أكتوبر,401.42037
علوم الزقازيق,401.23012
علوم طنطا,401.21661
علوم بنها,401.04928
علوم حلوان,401.04834
